sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,29.49442364852508,0.7749181226769537,0.001098860870115459,0.054461441934108734,0.1,0.2,200
1,35.701357561678854,0.9119591083996559,0.0002687417436391115,0.03750860318541527,0.1,0.2,200
2,30.15885908633743,0.7402857093734453,0.000898695201613009,0.04525152966380119,0.1,0.2,200
3,34.376002967281,0.8494716168518713,0.0003371062921360135,0.04145568609237671,0.1,0.2,200
4,23.736289743558693,0.7047607548326368,0.004168929532170296,0.045041900128126144,0.1,0.2,200
5,31.9054467861538,0.8333320049347954,0.0005963781150057912,0.04244428128004074,0.1,0.2,200
6,32.63597192017124,0.8293675487578469,0.00044606131268665195,0.0451614186167717,0.1,0.2,200
7,30.850537758126684,0.7658732648769737,0.000813876511529088,0.04170781001448631,0.1,0.2,200
8,34.66980657903806,0.8671362227745839,0.00033830999745987356,0.03999876603484154,0.1,0.2,200
9,32.19535257031226,0.8734370559315563,0.0005947980680502951,0.04758124053478241,0.1,0.2,200
