sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,clip
0,29.934730912113025,0.9249645151492012,0.0009929147781804204,0.022076589986681938,1.0,1.4,200,False
1,30.16891003558492,0.9235022634775277,0.0009606825769878924,0.023602930828928947,1.0,1.4,200,False
2,30.53554376999172,0.8892481957934221,0.0008240318275056779,0.02087532915174961,1.0,1.4,200,False
3,31.56156001646828,0.9553297945119006,0.0006444824393838644,0.01862514391541481,1.0,1.4,200,False
4,24.486919954582227,0.8798584562387044,0.003507208079099655,0.025197625160217285,1.0,1.4,200,False
5,33.28849930748635,0.973583011358392,0.00043372702202759683,0.018323643133044243,1.0,1.4,200,False
6,31.386748395974323,0.9545253074821181,0.0005947259487584233,0.021311312913894653,1.0,1.4,200,False
7,34.73812529233513,0.9067101916999886,0.0003325061989016831,0.016613902524113655,1.0,1.4,200,False
8,30.09793310724287,0.9381845557545114,0.0009693981264717877,0.01919793151319027,1.0,1.4,200,False
9,28.98707797989594,0.8965982916011324,0.00124507921282202,0.03138372674584389,1.0,1.4,200,False
