sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,lambda_rd,anis_param,clip
0,31.83166250523225,0.9679039690424415,0.0006415327661670744,0.009712839499115944,0.07,0.9,100,9.999999999999999e-06,0.0215443469003188,True
1,32.951416552917394,0.9670433610124115,0.0005062082782387733,0.012589463964104652,0.07,0.9,100,9.999999999999999e-06,0.0464158883361277,True
2,32.95154820309642,0.9590019414468569,0.0004724365717265755,0.007102589588612318,0.07,0.9,100,9.999999999999999e-06,0.0001,True
3,37.47604383909726,0.9629594165451202,0.00016510595742147416,0.0035341207403689623,0.07,0.9,100,9.999999999999999e-06,0.0046415888336127,True
4,34.722250427658516,0.9750094281507596,0.00033222202910110354,0.006639550440013409,0.07,0.9,100,9.999999999999999e-06,0.0046415888336127,True
5,35.72671031027683,0.9683085819408375,0.00024739751825109124,0.003941493574529886,0.07,0.9,100,9.999999999999999e-06,0.001,True
6,31.528659093926997,0.9726128872826126,0.0005756066530011594,0.005246780812740326,0.07,0.9,100,9.999999999999999e-06,0.0021544346900318,True
7,43.982500458146006,0.9869298375181862,3.9569655200466514e-05,0.0026660910807549953,0.07,0.9,100,9.999999999999999e-06,0.0004641588833612,True
8,33.62848801666689,0.9559156798418338,0.0004299784777686,0.006748164538294077,0.07,0.9,100,9.999999999999999e-06,0.0021544346900318,True
9,20.35762732937596,0.8141211218347976,0.009081174619495869,0.012294172309339046,0.07,0.9,100,9.999999999999999e-06,0.0215443469003188,True
