sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,lambda_rd,anis_param,clip
0,29.89595717048935,0.9395136234395675,0.001001819153316319,0.019221555441617966,0.07,0.9,25,1e-09,0.0215443469003188,True
1,26.351828769598708,0.8786453466539385,0.002313598757609725,0.0293719619512558,0.07,0.9,25,1e-09,0.0464158883361277,True
2,32.36787162301633,0.9578399104176721,0.000540394801646471,0.014799391850829124,0.07,0.9,25,1e-09,0.0001,True
3,32.66094301714509,0.9340473740708595,0.0005003487458452582,0.017824137583374977,0.07,0.9,25,1e-09,0.0046415888336127,True
4,28.720942498947352,0.960340018165985,0.0013229981996119022,0.017591429874300957,0.07,0.9,25,1e-09,0.0046415888336127,True
5,35.58362852107672,0.9660235863905573,0.0002556840190663934,0.015040215104818344,0.07,0.9,25,1e-09,0.001,True
6,28.23747062730905,0.9355119168297056,0.0012281308881938457,0.02443012222647667,0.07,0.9,25,1e-09,0.0021544346900318,True
7,38.85121695230888,0.9796609665710244,0.00012897056876681745,0.008845504373311996,0.07,0.9,25,1e-09,0.0004641588833612,True
8,26.73873768363766,0.8872214188329276,0.002100979210808873,0.022263942286372185,0.07,0.9,25,1e-09,0.0021544346900318,True
9,18.470136988211575,0.6905236773485903,0.014024619944393635,0.03681056946516037,0.07,0.9,25,1e-09,0.0215443469003188,True
