sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,lambda_rd,anis_param,clip
0,26.508271615302867,0.9209001485192985,0.002185535617172718,0.001347998040728271,0.07,0.9,5,0.01,0.01,True
1,24.52182962485363,0.8970279191404487,0.003526045475155115,0.0008217145805247128,0.07,0.9,5,0.01,0.2154434690031882,True
2,32.041593876097465,0.9644035807204259,0.0005825576954521239,0.0012957709841430187,0.07,0.9,5,0.01,0.0046415888336127,True
3,38.43673729599096,0.9839283281435538,0.00013234069047030061,0.0009073768160305917,0.07,0.9,5,0.01,0.0021544346900318,True
4,23.67180877726313,0.8878098586379871,0.004231288563460112,0.0010085090762004256,0.07,0.9,5,0.01,0.0464158883361277,True
5,32.064034294980736,0.9697912547918051,0.0005749935517087579,0.0010277667315676808,0.07,0.9,5,0.01,0.01,True
6,29.43140934739325,0.969460191664558,0.0009329337044619024,0.001056809676811099,0.07,0.9,5,0.01,0.0046415888336127,True
7,28.956025474886506,0.9729251153267328,0.001258953707292676,0.0005916767404414713,0.07,0.9,5,0.01,0.1,True
8,30.40753296472792,0.9521088364186997,0.0009026974439620972,0.0011676953872665763,0.07,0.9,5,0.01,0.0215443469003188,True
9,19.105201079999816,0.7874593549761515,0.012116708792746067,0.0010187487350776792,0.07,0.9,5,0.01,0.1,True
10,20.048017196941114,0.77416610957413,0.009773977100849152,0.0010649149771779776,0.07,0.9,5,0.01,0.1,True
11,23.052059030156514,0.9464269589067613,0.004944927059113979,0.0006555008003488183,0.07,0.9,5,0.01,0.4641588833612777,True
12,22.853445001046254,0.8847302134576496,0.005148603580892086,0.0007899444317445159,0.07,0.9,5,0.01,0.1,True
13,22.740874756073435,0.9080636496737338,0.005304084625095129,0.0007522088708356023,0.07,0.9,5,0.01,0.2154434690031882,True
14,36.40394921400541,0.9885890943039558,0.00022858355077914894,0.002231250749900937,0.07,0.9,5,0.01,0.001,True
15,30.120386909900468,0.9670247529989918,0.0009710782906040549,0.0007893674192018807,0.07,0.9,5,0.01,0.1,True
16,26.53987285016177,0.9669049807715588,0.0022109735291451216,0.0005470560281537473,0.07,0.9,5,0.01,0.2154434690031882,True
17,28.92100859347284,0.9774270023385561,0.001280680182389915,0.0007580702658742666,0.07,0.9,5,0.01,0.2154434690031882,True
18,27.4584674852616,0.9338360111611406,0.001732579548843205,0.0008249669335782528,0.07,0.9,5,0.01,0.1,True
19,28.914544767474784,0.9147009218132779,0.0012411553179845214,0.0008919909014366567,0.07,0.9,5,0.01,0.0215443469003188,True
20,29.509948063480962,0.9247768003070709,0.000957862357608974,0.0009418179979547858,0.07,0.9,5,0.01,0.1,True
21,28.160077821383062,0.9791718004780781,0.001525879604741931,0.0005775204044766724,0.07,0.9,5,0.01,0.2154434690031882,True
22,-65.93809873735955,0.3629543219014935,3850087.75,1174.5767822265625,0.07,0.9,5,0.01,0.0001,True
23,39.690828850196624,0.9880577070240635,0.0001071685110218823,0.002547851763665676,0.07,0.9,5,0.01,0.0004641588833612,True
24,29.518175248093005,0.9604799481160685,0.001112740021198988,0.0012850625207647681,0.07,0.9,5,0.01,0.01,True
