sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,clip
0,25.33043410946297,0.8876255005578921,0.0028664323035627604,0.022185474634170532,0.35,0.6,50,True
1,22.3882743821125,0.8418502354427597,0.005762931425124407,0.03231431916356087,0.35,0.6,50,True
2,29.200382824174138,0.9228321492224566,0.001120624365285039,0.017362205311655998,0.35,0.6,50,True
3,30.55011361756432,0.909972401495381,0.0008134966483339667,0.025550736114382744,0.35,0.6,50,True
4,29.571676479392245,0.9497501352653906,0.0010876416927203536,0.020021505653858185,0.35,0.6,50,True
5,26.00778887823928,0.8966357469242989,0.0023189294151961803,0.026145847514271736,0.35,0.6,50,True
6,23.914928697753993,0.8657645986500024,0.0033227589447051287,0.033540889620780945,0.35,0.6,50,True
7,37.04235998289395,0.9678729542514735,0.00019560335204005241,0.013082586228847504,0.35,0.6,50,True
8,22.98951174414512,0.8412119293864384,0.0049813189543783665,0.027390388771891594,0.35,0.6,50,True
9,18.647523204069742,0.6930579861379262,0.013463328592479229,0.04313219338655472,0.35,0.6,50,True
