sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,clip
0,16.340375806170776,0.5191706435256834,0.022716818377375603,0.05704784020781517,0.35,1.0,300,False
1,18.49663619954766,0.6878761613467569,0.014119109138846397,0.05651558190584183,0.35,1.0,300,False
2,26.176421840372868,0.7731512106926037,0.0022483100183308125,0.03368055447936058,0.35,1.0,300,False
3,28.05847344310754,0.8573369287467159,0.0014438423095270991,0.04892676696181297,0.35,1.0,300,False
4,19.86692100674838,0.6460522779526241,0.010161583311855793,0.0725184828042984,0.35,1.0,300,False
5,19.94769023798633,0.6601185477364562,0.009360464289784431,0.050247516483068466,0.35,1.0,300,False
6,19.617354365882484,0.624434961353921,0.008938328363001347,0.060702402144670486,0.35,1.0,300,False
7,25.406258433306025,0.7610368287571397,0.0028509292751550674,0.042347587645053864,0.35,1.0,300,False
8,18.581248224067345,0.6113521412346666,0.01374582014977932,0.05601876601576805,0.35,1.0,300,False
9,19.355142618896405,0.7379887707168811,0.011439064517617226,0.06517688930034637,0.35,1.0,300,False
