sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,lambda_rd,anis_param,clip
0,23.14089984609684,0.883248428325798,0.0047456431202590466,0.01212994009256363,0.7,0.9,100,0.01,0.0215443469003188,True
1,25.202383378589175,0.8691007766289186,0.003014619927853346,0.007448470685631037,0.7,0.9,100,0.01,0.0215443469003188,True
2,-inf,,inf,inf,0.7,0.9,100,0.01,0.0001,True
3,23.739744014066456,0.7590112795411024,0.0039029475301504135,0.012222173623740673,0.7,0.9,100,0.01,0.0021544346900318,True
4,28.099398765127145,0.9229695422130841,0.0015265592373907566,0.008946970105171204,0.7,0.9,100,0.01,0.0021544346900318,True
5,27.237349027911392,0.9014658466945844,0.0017471552127972245,0.010338880121707916,0.7,0.9,100,0.01,0.0046415888336127,True
6,28.37429576919964,0.9098989264299503,0.0011900415411219,0.00919248629361391,0.7,0.9,100,0.01,0.0021544346900318,True
7,23.774195734530807,0.8236518883299163,0.0041513824835419655,0.008952634409070015,0.7,0.9,100,0.01,0.0021544346900318,True
8,27.363802255588823,0.8943737574939024,0.0018193459836766124,0.006585582159459591,0.7,0.9,100,0.01,0.01,True
9,18.635969158520318,0.7502312156938922,0.013499194756150246,0.010759973898530006,0.7,0.9,100,0.01,0.0215443469003188,True
