sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,lambda_rd,anis_param,clip
0,31.320320635520325,0.9330031932641581,0.0007216939120553434,0.022496474906802177,0.7,0.9,100,9.999999999999999e-06,0.0046415888336127,True
1,30.247904442139152,0.905820473082848,0.0009433664963580668,0.02703123167157173,0.7,0.9,100,9.999999999999999e-06,0.0215443469003188,True
2,30.712499410869377,0.943923874766834,0.0007911310531198978,0.0163632370531559,0.7,0.9,100,9.999999999999999e-06,0.0004641588833612,True
3,29.6383382246811,0.9021194997763547,0.0010035368613898754,0.016142701730132103,0.7,0.9,100,9.999999999999999e-06,0.0215443469003188,True
4,29.43522779688672,0.9297360670094458,0.0011223562760278583,0.016981903463602066,0.7,0.9,100,9.999999999999999e-06,0.0021544346900318,True
5,32.39641949975307,0.9400367745658684,0.0005326285609044135,0.011461353860795498,0.7,0.9,100,9.999999999999999e-06,0.01,True
6,29.53086993107046,0.9259821184986762,0.000911810842808336,0.016091875731945038,0.7,0.9,100,9.999999999999999e-06,0.001,True
7,35.94773850555339,0.9662159964734433,0.00025167406420223415,0.007356835994869471,0.7,0.9,100,9.999999999999999e-06,0.01,True
8,28.315596384310737,0.912058418407129,0.00146128807682544,0.01804504543542862,0.7,0.9,100,9.999999999999999e-06,0.001,True
9,19.232092380190487,0.7126065847556173,0.01176780741661787,0.03652724623680115,0.7,0.9,100,9.999999999999999e-06,0.01,True
10,28.308876466205966,0.9596115218165981,0.0014587652403861284,0.028841083869338036,0.7,0.9,100,9.999999999999999e-06,0.0021544346900318,True
11,31.437673197475885,0.9141132608017624,0.0007171308971010149,0.02006666362285614,0.7,0.9,100,9.999999999999999e-06,0.0464158883361277,True
12,28.634129573926636,0.954513117901681,0.0013602571561932564,0.01818641647696495,0.7,0.9,100,9.999999999999999e-06,0.0046415888336127,True
13,24.0703898835402,0.868397120263339,0.0039053410291671753,0.02542319893836975,0.7,0.9,100,9.999999999999999e-06,0.01,True
14,32.38375464982119,0.9311746717175955,0.000576852064114064,0.02161221206188202,0.7,0.9,100,9.999999999999999e-06,0.0004641588833612,True
15,37.937018332610094,0.957853410781291,0.00016054289881139994,0.010943479835987091,0.7,0.9,100,9.999999999999999e-06,0.01,True
16,33.8240633666309,0.9623285872002504,0.00041320393211208284,0.01692974381148815,0.7,0.9,100,9.999999999999999e-06,0.0215443469003188,True
17,33.97610368218531,0.9573251658471992,0.0003998813626822084,0.018241306766867638,0.7,0.9,100,9.999999999999999e-06,0.0215443469003188,True
18,29.623558122414018,0.9057503439636442,0.0010524078970775008,0.016390038654208183,0.7,0.9,100,9.999999999999999e-06,0.01,True
19,29.15259195562832,0.9345735442373898,0.0011749555123969913,0.01578153669834137,0.7,0.9,100,9.999999999999999e-06,0.0046415888336127,True
20,28.37970350534136,0.8389094089156919,0.0012425892055034637,0.03757544979453087,0.7,0.9,100,9.999999999999999e-06,0.01,True
21,39.161931589951536,0.9835311361387664,0.00012115322169847786,0.010944201610982418,0.7,0.9,100,9.999999999999999e-06,0.0215443469003188,True
22,32.239879472578366,0.9515159614038172,0.0005856967181898654,0.0250298660248518,0.7,0.9,100,9.999999999999999e-06,0.0004641588833612,True
23,30.747768672437815,0.9019880420629269,0.0008401817176491022,0.023713164031505585,0.7,0.9,100,9.999999999999999e-06,0.0215443469003188,True
24,29.772385578327896,0.9166083741929263,0.0010494764428585768,0.02287515439093113,0.7,0.9,100,9.999999999999999e-06,0.0002154434690031,True
