sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,lambda_rd,anis_param,clip
0,29.60011704652045,0.922859356533068,0.0010724409949034452,0.022198490798473358,0.7,0.9,50,1e-06,0.0046415888336127,True
1,30.020593281422478,0.9073556114384141,0.0009940576273947954,0.026919597759842873,0.7,0.9,50,1e-06,0.0215443469003188,True
2,30.939228839918105,0.9500626684834468,0.0007508885464631021,0.01644706539809704,0.7,0.9,50,1e-06,0.0004641588833612,True
3,30.02901947585718,0.9072710530422974,0.0009172023274004459,0.017793722450733185,0.7,0.9,50,1e-06,0.0215443469003188,True
4,28.552102210715105,0.9320011998693025,0.0013754452811554074,0.01883605308830738,0.7,0.9,50,1e-06,0.0021544346900318,True
5,33.77413163012705,0.9501993327302584,0.000387840555049479,0.012553825043141842,0.7,0.9,50,1e-06,0.01,True
6,29.320294481768006,0.9278583555291066,0.000957110954914242,0.02059542015194893,0.7,0.9,50,1e-06,0.001,True
7,37.06162684908273,0.971310868013508,0.00019473751308396459,0.00771274184808135,0.7,0.9,50,1e-06,0.01,True
8,28.03119859572159,0.9083224123015123,0.0015601833583787084,0.019770819693803787,0.7,0.9,50,1e-06,0.001,True
9,18.767049343043183,0.694200138404345,0.013097844086587429,0.03893330320715904,0.7,0.9,50,1e-06,0.01,True
10,26.731472792582096,0.9467884242319348,0.0020976150408387184,0.03358275070786476,0.7,0.9,50,1e-06,0.0021544346900318,True
11,31.09669420061303,0.9098905112836567,0.0007757046259939671,0.021521424874663353,0.7,0.9,50,1e-06,0.0464158883361277,True
12,28.64860283297031,0.9433400625953118,0.0013557313941419125,0.018028512597084045,0.7,0.9,50,1e-06,0.0046415888336127,True
13,24.261977557046805,0.8704838776140175,0.0037368028424680233,0.025545915588736534,0.7,0.9,50,1e-06,0.01,True
14,32.49314614402942,0.9316895961130982,0.0005625035846605897,0.022564036771655083,0.7,0.9,50,1e-06,0.0004641588833612,True
15,39.254814850004365,0.9617914571450836,0.00011852540046675131,0.01231930311769247,0.7,0.9,50,1e-06,0.01,True
16,33.634218305622994,0.962136973137703,0.00043166716932319105,0.018685515969991684,0.7,0.9,50,1e-06,0.0215443469003188,True
17,33.525514435555166,0.958503239156661,0.00044359854655340314,0.018735399469733238,0.7,0.9,50,1e-06,0.0215443469003188,True
18,29.533989694197107,0.9098766823192005,0.0010743379825726151,0.02064947411417961,0.7,0.9,50,1e-06,0.01,True
19,31.33391273614562,0.9468963765784314,0.0007110322476364672,0.01855603978037834,0.7,0.9,50,1e-06,0.0046415888336127,True
20,27.398743833274224,0.8269035710075676,0.0015574839198961854,0.040604040026664734,0.7,0.9,50,1e-06,0.01,True
21,39.18316161150019,0.9848817902145248,0.00012056241394020617,0.011575519107282162,0.7,0.9,50,1e-06,0.0215443469003188,True
22,30.405867194992467,0.9451663489650524,0.0008934577344916761,0.029603268951177597,0.7,0.9,50,1e-06,0.0004641588833612,True
23,30.376570825855367,0.9006418248655811,0.0009151514386758208,0.0244684349745512,0.7,0.9,50,1e-06,0.0215443469003188,True
24,29.802719683850274,0.9184931017635285,0.001042171730659902,0.02536044269800186,0.7,0.9,50,1e-06,0.0002154434690031,True
