sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,28.06384223750066,0.6649878219187543,0.0015275690238922834,0.06953399628400803,0.5,0.2,200
1,26.65025129158167,0.604691915113257,0.0021599603351205587,0.08809202909469604,0.5,0.2,200
2,28.20685095768318,0.6566983821211475,0.0014086829032748938,0.06678508222103119,0.5,0.2,200
3,29.43887865615828,0.7105268579351168,0.0010507013648748398,0.0688292533159256,0.5,0.2,200
4,27.618765385146226,0.6575947892900184,0.0017052062321454287,0.06893259286880493,0.5,0.2,200
5,27.294856335446408,0.5713438447216436,0.0017241726163774729,0.0895318016409874,0.5,0.2,200
6,28.329517272444313,0.6630858592011449,0.0012023751623928547,0.0710233673453331,0.5,0.2,200
7,27.26897441360431,0.4926417092883996,0.0018565850332379341,0.10005970299243927,0.5,0.2,200
8,27.7864119782067,0.6287497691702606,0.0016506473766639829,0.07575222104787827,0.5,0.2,200
9,29.88673135102708,0.7323174045429113,0.0010121192317456007,0.07224813848733902,0.5,0.2,200
