sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,-72.89904359667582,-5.105814507258494e-09,19067310.0,42648.3828125,0.5,300,0.6
1,-72.6994015272145,3.893272350667838e-09,18595636.0,42689.8828125,0.5,300,0.6
2,-73.08706618675478,-1.890329129521614e-09,18976012.0,42609.69921875,0.5,300,0.6
3,-73.27783825494382,1.680685574569458e-09,19640430.0,42687.234375,0.5,300,0.6
4,-72.68718040928479,7.155304936289414e-10,18296648.0,42664.703125,0.5,300,0.6
5,-72.92577353967842,3.6123527507985605e-10,18140270.0,42647.02734375,0.5,300,0.6
6,-73.57778804151562,-1.1068956097783332e-09,18653938.0,42726.8671875,0.5,300,0.6
7,-72.7368426290706,-8.284094128391777e-11,18590734.0,42762.1484375,0.5,300,0.6
8,-72.68325011167958,-2.233634116432058e-09,18391642.0,42684.4453125,0.5,300,0.6
9,-72.73873740096592,1.4512240004904458e-09,18525868.0,42682.984375,0.5,300,0.6
