sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,alpha,scaling,clip,lambda_,zeta
0,16.4668559308187,0.5275215232282466,0.022064773365855217,0.058813076466321945,0.7,1.0,1.0,False,200,0.8
1,17.726177585870765,0.6703956366888001,0.01685982756316662,0.061058159917593,0.7,1.0,1.0,False,200,0.8
2,25.446469484909976,0.7503951067914812,0.0026598148979246616,0.034809064120054245,0.7,1.0,1.0,False,200,0.8
3,28.340387839335023,0.8484742406000938,0.0013530950527638197,0.05084342509508133,0.7,1.0,1.0,False,200,0.8
4,19.364684561308398,0.6280267277981451,0.011407357640564442,0.07068119198083878,0.7,1.0,1.0,False,200,0.8
5,18.516115591401853,0.5854685161235471,0.013015319593250751,0.047505274415016174,0.7,1.0,1.0,False,200,0.8
6,18.8923432847117,0.598878787494922,0.010562272742390633,0.058890845626592636,0.7,1.0,1.0,False,200,0.8
7,24.60350754396874,0.743496921869289,0.0034297427628189325,0.04158671200275421,0.7,1.0,1.0,False,200,0.8
8,18.58399184105183,0.6101485556856536,0.013737140223383904,0.05104714259505272,0.7,1.0,1.0,False,200,0.8
9,18.857913837318375,0.7252957935404494,0.012826654128730297,0.06527737528085709,0.7,1.0,1.0,False,200,0.8
10,20.24568905500978,0.8150886559104261,0.00933908112347126,0.07325543463230133,0.7,1.0,1.0,False,200,0.8
11,28.54223216827966,0.8640695116256812,0.0013968268176540732,0.05616765469312668,0.7,1.0,1.0,False,200,0.8
12,18.601860939650646,0.6659410450063677,0.013704017736017704,0.07605251669883728,0.7,1.0,1.0,False,200,0.8
13,26.56129138949708,0.8379988938814086,0.0022007401566952467,0.06975297629833221,0.7,1.0,1.0,False,200,0.8
14,26.382525552255714,0.8522534982062938,0.0022971394937485456,0.061647024005651474,0.7,1.0,1.0,False,200,0.8
15,19.66060260396307,0.6674897990295696,0.010795248672366142,0.044703274965286255,0.7,1.0,1.0,False,200,0.8
16,24.506425884208134,0.7824770373155188,0.003531247843056917,0.05836222320795059,0.7,1.0,1.0,False,200,0.8
17,28.89305243737587,0.8557178913264836,0.001288950676098466,0.0639345720410347,0.7,1.0,1.0,False,200,0.8
18,21.1423466485941,0.6582052087312109,0.0074183139950037,0.06006047874689102,0.7,1.0,1.0,False,200,0.8
19,19.116819442766126,0.612276469532145,0.011846735142171383,0.04808120056986809,0.7,1.0,1.0,False,200,0.8
20,26.68027334354821,0.8377198911984958,0.0018376829102635384,0.07070966809988022,0.7,1.0,1.0,False,200,0.8
21,20.40821062014896,0.6723300744063676,0.009092995896935463,0.07041408121585846,0.7,1.0,1.0,False,200,0.8
22,21.489118429706657,0.7066024835751286,0.006962239276617765,0.07991629838943481,0.7,1.0,1.0,False,200,0.8
23,31.076571216102007,0.8975348463925937,0.0007789201918058097,0.05263908579945564,0.7,1.0,1.0,False,200,0.8
24,19.8071801059316,0.656619965894288,0.010411018505692482,0.07757315784692764,0.7,1.0,1.0,False,200,0.8
25,25.65947000945153,0.8051896650075981,0.0027035551611334085,0.03830253332853317,0.7,1.0,1.0,False,200,0.8
26,23.814261855855506,0.6975058042896615,0.003461071290075779,0.05925282835960388,0.7,1.0,1.0,False,200,0.8
27,18.11317174649993,0.7079921623367832,0.01542285643517971,0.06566302478313446,0.7,1.0,1.0,False,200,0.8
28,23.485201903836057,0.7140361178521044,0.003910676576197147,0.06053076684474945,0.7,1.0,1.0,False,200,0.8
29,17.558367062742555,0.6077827955437621,0.017524223774671555,0.07876287400722504,0.7,1.0,1.0,False,200,0.8
