sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,alpha,scaling,clip,lambda_,zeta
0,24.47946241870651,0.8594030243075432,0.0034868947695940733,0.02627289853990078,0.7,1.0,1.0,True,100,0.8
1,20.788313542322282,0.7877262082611731,0.008329895325005054,0.03557216748595238,0.7,1.0,1.0,True,100,0.8
2,27.54397594450941,0.8859804873668298,0.001640970353037119,0.021751178428530693,0.7,1.0,1.0,True,100,0.8
3,28.682788453414258,0.8846840983827601,0.0012505132472142577,0.029056278988718987,0.7,1.0,1.0,True,100,0.8
4,28.801282780696503,0.9373447874751253,0.0012987491209059954,0.023618826642632484,0.7,1.0,1.0,True,100,0.8
5,24.96555491103734,0.8709578472855178,0.0029478874057531357,0.029205182567238808,0.7,1.0,1.0,True,100,0.8
6,21.46766905617781,0.7908819013047121,0.005837472155690193,0.03949132561683655,0.7,1.0,1.0,True,100,0.8
7,32.721974623193766,0.9620338968694272,0.0005289502441883087,0.019844185560941696,0.7,1.0,1.0,True,100,0.8
8,22.8188389851581,0.8177496623968099,0.00518097635358572,0.02868853323161602,0.7,1.0,1.0,True,100,0.8
9,18.0251798713372,0.674470320522739,0.015537702478468418,0.04748714715242386,0.7,1.0,1.0,True,100,0.8
10,21.44868784933952,0.8608326979223847,0.007079527713358402,0.05719979107379913,0.7,1.0,1.0,True,100,0.8
11,31.929779491891047,0.9278819779908694,0.0006403063889592886,0.025416113436222076,0.7,1.0,1.0,True,100,0.8
12,28.343085931101598,0.9336341449835167,0.0014545388985425234,0.021229049190878868,0.7,1.0,1.0,True,100,0.8
13,27.274345167738797,0.8783227880192215,0.0018675121245905757,0.032837290316820145,0.7,1.0,1.0,True,100,0.8
14,33.46272420189348,0.9388333021041286,0.0004499532806221396,0.02680845931172371,0.7,1.0,1.0,True,100,0.8
15,26.147839669330047,0.9011878837611222,0.0024238680489361286,0.024795548990368843,0.7,1.0,1.0,True,100,0.8
16,36.608355595075025,0.9703218289665393,0.0002176382695324719,0.019630827009677887,0.7,1.0,1.0,True,100,0.8
17,35.06550532809893,0.9468026272683444,0.00031116517493501306,0.025647269561886787,0.7,1.0,1.0,True,100,0.8
18,27.56958988917848,0.9029517946852529,0.0016888101818040013,0.02599681355059147,0.7,1.0,1.0,True,100,0.8
19,26.522579933689624,0.89447202326579,0.00215289369225502,0.02605614997446537,0.7,1.0,1.0,True,100,0.8
20,24.442502859869304,0.7565001387359069,0.0030764341354370117,0.0498611144721508,0.7,1.0,1.0,True,100,0.8
21,36.35039533959906,0.9765296053714181,0.0002314666926395148,0.017492735758423805,0.7,1.0,1.0,True,100,0.8
22,27.32387306496605,0.892984971119585,0.001816659001633525,0.04859407618641853,0.7,1.0,1.0,True,100,0.8
23,31.553420022178887,0.9114054865496939,0.0006979239406064153,0.024336030706763268,0.7,1.0,1.0,True,100,0.8
24,28.61276508791112,0.9103091892212537,0.001370675745420158,0.03107943944633007,0.7,1.0,1.0,True,100,0.8
25,29.954011975944628,0.9080992041557443,0.0010057291947305202,0.02112141251564026,0.7,1.0,1.0,True,100,0.8
26,27.73669915352123,0.855168405194143,0.0014027064898982644,0.030931346118450165,0.7,1.0,1.0,True,100,0.8
27,30.510359626960305,0.9431836034937293,0.0008880675304681063,0.021876029670238495,0.7,1.0,1.0,True,100,0.8
28,25.51078441245888,0.7875217861092002,0.0024529779329895973,0.03712700307369232,0.7,1.0,1.0,True,100,0.8
29,31.62107681217052,0.9767757190085786,0.0006876505794934928,0.013766494579613209,0.7,1.0,1.0,True,100,0.8
30,22.362706225277197,0.8875408643353019,0.005795186851173639,0.02374071255326271,0.7,1.0,1.0,True,100,0.8
31,16.478365295233235,0.6720857456260347,0.022285185754299164,0.04005667194724083,0.7,1.0,1.0,True,100,0.8
32,32.43309174282952,0.9476764179973779,0.0005704631330445409,0.020848818123340607,0.7,1.0,1.0,True,100,0.8
33,30.923272307570983,0.9687177590541426,0.0008077417151071131,0.015708567574620247,0.7,1.0,1.0,True,100,0.8
34,32.02586803777346,0.9198502398243076,0.0006262795650400221,0.02723405323922634,0.7,1.0,1.0,True,100,0.8
35,23.63530327304119,0.8021523261488914,0.004324091598391533,0.03743858262896538,0.7,1.0,1.0,True,100,0.8
36,27.123211341558687,0.9023462416891536,0.0018999052699655294,0.027938611805438995,0.7,1.0,1.0,True,100,0.8
37,26.14621534857637,0.9271787801917001,0.0024182661436498165,0.029332654550671577,0.7,1.0,1.0,True,100,0.8
38,30.305377185512533,0.891109774635011,0.0009220013162121177,0.025643154978752136,0.7,1.0,1.0,True,100,0.8
