sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,alpha,scaling
0,44.76743282465812,0.9963608572818915,3.2631858630338684e-05,0.006816586013883352,0.05,1.0,1.0
1,46.164510052148216,0.9954725290630378,2.4155713617801666e-05,0.00529144611209631,0.05,1.0,1.0
2,40.51205810714707,0.9953908997023684,8.285000512842089e-05,0.004690587054938078,0.05,1.0,1.0
3,45.16566652108857,0.997024288887333,2.810609294101596e-05,0.004500049632042646,0.05,1.0,1.0
4,43.9560815031562,0.997515207550597,3.963194103562273e-05,0.004601586610078812,0.05,1.0,1.0
5,46.839522637567384,0.9973554119267823,1.914758831844665e-05,0.003961171489208937,0.05,1.0,1.0
6,44.867602611594975,0.9953677523861975,2.668280285433866e-05,0.00419343076646328,0.05,1.0,1.0
7,42.979231177191075,0.9952313424817549,4.985276245861314e-05,0.004051131661981344,0.05,1.0,1.0
8,44.178275410807814,0.9955076668315381,3.788505637203343e-05,0.0053199767135083675,0.05,1.0,1.0
9,45.43417551632779,0.9964784197393954,2.8215466954861768e-05,0.005881136283278465,0.05,1.0,1.0
10,43.95936472242041,0.9969917126115262,3.9713355363346636e-05,0.0051240865141153336,0.05,1.0,1.0
11,51.60786821611182,0.998770169890702,6.895709702803288e-06,0.003910556901246309,0.05,1.0,1.0
12,45.891686714509845,0.9968662772508352,2.5577923224773258e-05,0.0041656820103526115,0.05,1.0,1.0
13,45.97066839166967,0.9949421735463128,2.5213381377398036e-05,0.005147120915353298,0.05,1.0,1.0
14,51.55486955479776,0.9987354347303555,6.981567366892705e-06,0.0035500323865562677,0.05,1.0,1.0
15,47.945484494530305,0.9917056996017787,1.6023022908484563e-05,0.003857905277982354,0.05,1.0,1.0
16,49.8421125512033,0.9979245580725133,1.0336167179048061e-05,0.003448417643085122,0.05,1.0,1.0
17,52.914798307216266,0.9986363361033124,5.10577547174762e-06,0.003557469230145216,0.05,1.0,1.0
18,47.679137611788455,0.9979915719621568,1.6467442037537694e-05,0.003312167478725314,0.05,1.0,1.0
19,45.52078086833006,0.9925951758251593,2.7114556360174902e-05,0.0047243391163647175,0.05,1.0,1.0
20,42.50104623020681,0.9939793606199347,4.8105339374160394e-05,0.004281784873455763,0.05,1.0,1.0
21,50.24941373252447,0.998119740063561,9.431629223399796e-06,0.003352560568600893,0.05,1.0,1.0
22,48.79212988543746,0.99873801807501,1.29553091028356e-05,0.003968164790421724,0.05,1.0,1.0
23,47.2935490648529,0.9958844360029488,1.8612090570968576e-05,0.003697916865348816,0.05,1.0,1.0
24,49.802051635034815,0.9988172316175988,1.0423320418340154e-05,0.004439427051693201,0.05,1.0,1.0
25,48.890138332914965,0.9954876192029416,1.2848972801293712e-05,0.003252222202718258,0.05,1.0,1.0
26,47.374358313002205,0.9976700422564527,1.5247579540300649e-05,0.004550643730908632,0.05,1.0,1.0
