sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,alpha,scaling,clip,lambda_,lambda_rd,anis_param,zeta
0,32.639445986326024,0.9694409480835509,0.0005326481768861413,0.009742334485054016,0.35,1.0,1.0,True,10,0.0001,0.0046415888336127,0.9
1,32.42696361899625,0.9541192525003963,0.0005711819976568222,0.011062892153859138,0.35,1.0,1.0,True,10,0.0001,0.0464158883361277,0.9
2,34.03551571111508,0.9724851198517501,0.00036808388540521264,0.007009909953922033,0.35,1.0,1.0,True,10,0.0001,0.001,0.9
3,35.464027927250065,0.9559555449883451,0.00026240028091706336,0.0038828938268125057,0.35,1.0,1.0,True,10,0.0001,0.01,0.9
4,32.95860185850321,0.953540569011764,0.0004986471030861139,0.006425055209547281,0.35,1.0,1.0,True,10,0.0001,0.0046415888336127,0.9
5,36.43488270644112,0.9700161217874295,0.00021017358812969178,0.004119671415537596,0.35,1.0,1.0,True,10,0.0001,0.0046415888336127,0.9
6,31.40757970691928,0.9700075376575085,0.000591880118008703,0.005173087120056152,0.35,1.0,1.0,True,10,0.0001,0.0021544346900318,0.9
7,38.820790984307976,0.9841389425398764,0.00012987728405278176,0.0030183871276676655,0.35,1.0,1.0,True,10,0.0001,0.01,0.9
8,33.41524083176456,0.9585595155294343,0.00045161813613958657,0.007427203003317118,0.35,1.0,1.0,True,10,0.0001,0.0046415888336127,0.9
9,19.76511374959066,0.8058083882105053,0.010408625937998295,0.008297942578792572,0.35,1.0,1.0,True,10,0.0001,0.0215443469003188,0.9
10,30.62121161434567,0.9693127620207882,0.0008565483731217682,0.01084702368825674,0.35,1.0,1.0,True,10,0.0001,0.01,0.9
11,34.63954654736482,0.9627341317287785,0.0003430924261920154,0.008812319487333298,0.35,1.0,1.0,True,10,0.0001,0.1,0.9
12,27.613637616123157,0.9621493626074525,0.001720561645925045,0.007522929459810257,0.35,1.0,1.0,True,10,0.0001,0.01,0.9
13,24.19570951155574,0.9100161742403867,0.0037942593917250633,0.010836774483323097,0.35,1.0,1.0,True,10,0.0001,0.0215443469003188,0.9
14,39.06615809027922,0.9850114392360789,0.00012382949353195727,0.007214112672954798,0.35,1.0,1.0,True,10,0.0001,0.0021544346900318,0.9
15,40.95986478628913,0.9716253606573716,8.003988477867097e-05,0.004114532843232155,0.35,1.0,1.0,True,10,0.0001,0.01,0.9
16,40.97544461646693,0.9840758522074781,7.962076779222116e-05,0.0038401270285248756,0.35,1.0,1.0,True,10,0.0001,0.0464158883361277,0.9
17,40.88842651039009,0.9791491377495145,8.141396392602473e-05,0.004781625233590603,0.35,1.0,1.0,True,10,0.0001,0.0464158883361277,0.9
18,35.655320540775705,0.9699847332602684,0.00026242659077979624,0.0035649577621370554,0.35,1.0,1.0,True,10,0.0001,0.01,0.9
19,30.665315531507815,0.9589212628156408,0.0008293713326565921,0.005399687215685844,0.35,1.0,1.0,True,10,0.0001,0.0046415888336127,0.9
20,36.28472911612825,0.9591434877000603,0.00020129130280110985,0.006280488334596157,0.35,1.0,1.0,True,10,0.0001,0.01,0.9
21,43.595709486117336,0.991723686364413,4.3647276470437646e-05,0.003884741570800543,0.35,1.0,1.0,True,10,0.0001,0.0464158883361277,0.9
