sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,alpha,scaling,clip,lambda_,lambda_rd,anis_param,zeta
0,33.105794259263,0.969997135908857,67.336669921875,3.707576274871826,0.34774836348367144,380.2491455078125,375.16558837890625,True,10,0.0001,0.0046415888336127,0.9
1,31.91158137972897,0.9561790080877527,581.3770751953125,8.929839134216309,0.24015441484520367,971.1483154296875,950.7636108398438,True,10,0.0001,0.0464158883361277,0.9
2,31.885818668548353,0.9663227935032332,323.779541015625,3.973003387451172,0.38625821267522575,512.7401123046875,732.261962890625,True,10,0.0001,0.001,0.9
3,35.64713917371067,0.9561545579656728,90.2804183959961,2.2272775173187256,0.2512509143027375,613.821044921875,599.059814453125,True,10,0.0001,0.01,0.9
4,31.089977231163783,0.9482937814788922,18.866647720336914,0.8586700558662415,0.3586154113259606,142.99176025390625,156.8626251220703,True,10,0.0001,0.0046415888336127,0.9
5,35.211574225890516,0.970274326209867,6.851955890655518,0.596885621547699,0.2984014461885117,143.14381408691406,156.83853149414062,True,10,0.0001,0.0046415888336127,0.9
6,25.692934247188084,0.9338127818043652,7.687375068664551,0.25189000368118286,0.3835941794576113,41.16526794433594,59.02552795410156,True,10,0.0001,0.0021544346900318,0.9
7,24.748176700967445,0.9221734765021301,2489.667236328125,2.7383580207824707,0.44663002098548027,556.909423828125,866.3099975585938,True,10,0.0001,0.01,0.9
8,31.440541193817417,0.9534730190340087,257.4736022949219,4.067677021026611,0.2666972030993963,729.0828857421875,601.513916015625,True,10,0.0001,0.0046415888336127,0.9
9,19.909840281893757,0.8098839560458273,5051.662109375,5.101485252380371,0.24738832404476077,640.9019165039062,708.364501953125,True,10,0.0001,0.0215443469003188,0.9
10,31.4996549412141,0.9710606117151347,0.3253587782382965,0.20831269025802612,0.23742317856810866,27.207515716552734,21.56390953063965,True,10,0.0001,0.01,0.9
11,25.441853933252098,0.8965328247454575,2683.305419921875,4.470230579376221,0.3221071496670442,870.3429565429688,969.93994140625,True,10,0.0001,0.1,0.9
12,28.133061172998787,0.962604460801441,1058.3060302734375,9.322790145874023,0.250994678057592,1015.291015625,832.6101684570312,True,10,0.0001,0.01,0.9
13,24.332834959945295,0.9129569549546015,166.99000549316406,1.98164963722229,0.24128420228394948,220.0080108642578,213.12677001953125,True,10,0.0001,0.0215443469003188,0.9
14,40.409905079185506,0.9849911624002506,3.031489849090576,1.162213921546936,0.25116574225063454,185.96670532226562,182.6431427001953,True,10,0.0001,0.0021544346900318,0.9
15,39.173724465565215,0.9714707506376523,4.098257541656494,0.6943851113319397,0.22489303648005182,203.4640350341797,184.22109985351562,True,10,0.0001,0.01,0.9
16,37.6774498067827,0.9853117335414738,15.821544647216797,1.1925314664840698,0.32986032601707194,282.896240234375,304.93798828125,True,10,0.0001,0.0464158883361277,0.9
17,39.770639666593674,0.9804218109116589,29.052227020263672,2.486971139907837,0.3569342163906095,514.7816772460938,525.231689453125,True,10,0.0001,0.0464158883361277,0.9
18,36.42136104198549,0.9726984600533642,41.15306854248047,1.4588749408721924,0.27936818203312275,436.2696533203125,432.5130615234375,True,10,0.0001,0.01,0.9
19,34.02716682167473,0.9650862085007292,32.594539642333984,1.311682105064392,0.3269002669812239,261.8180847167969,291.9378967285156,True,10,0.0001,0.0046415888336127,0.9
20,37.02549103456433,0.964618252396153,63.6200065612793,2.894690752029419,0.2075496816512473,770.002685546875,612.2410278320312,True,10,0.0001,0.01,0.9
21,28.556911863883798,0.9552836093986243,27.433979034423828,0.6204760670661926,0.38349811230576514,122.75493621826172,140.3543701171875,True,10,0.0001,0.0464158883361277,0.9
22,27.570664309780568,0.9471737518483702,147.19471740722656,2.251119375228882,0.19146956650054858,296.9797058105469,292.8525085449219,True,10,0.0001,0.0021544346900318,0.9
23,32.66278653129904,0.9483946992316974,72.810302734375,2.460905075073242,0.23809945186447845,414.27947998046875,366.9954833984375,True,10,0.0001,0.0464158883361277,0.9
24,29.949198552184114,0.9359613905196589,210.08242797851562,4.33905029296875,0.3941948111889623,395.3961181640625,456.6139221191406,True,10,0.0001,0.001,0.9
25,37.69768061205483,0.9623305466491249,104.30035400390625,2.1545610427856445,0.25794604021428635,674.8302612304688,785.3908081054688,True,10,0.0001,0.01,0.9
26,26.586538850578243,0.8351435987411273,73.46820068359375,0.9064034223556519,0.2524261857286712,116.2914047241211,200.47410583496094,True,10,0.0001,0.0215443469003188,0.9
27,34.995795410548176,0.9804634281786849,83.76158905029297,2.634749174118042,0.2131265162795788,553.8090209960938,514.72021484375,True,10,0.0001,0.0215443469003188,0.9
28,33.08417691826344,0.9474601711697254,150.7312469482422,7.143371105194092,0.2626535828985435,628.521484375,592.8221435546875,True,10,0.0001,0.0046415888336127,0.9
29,38.85532200129396,0.990874679941757,0.2921275794506073,0.24164867401123047,0.2680036706564969,48.09400177001953,47.403961181640625,True,10,0.0001,0.01,0.9
30,19.89177065754372,0.8115924908322862,3783.367919921875,1.0875900983810425,0.5131478749520283,358.5547790527344,607.9373168945312,True,10,0.0001,0.0464158883361277,0.9
31,18.060712450709712,0.7512363834307709,454.5357360839844,2.0163655281066895,0.1509517737107947,260.2546691894531,171.35360717773438,True,10,0.0001,0.0215443469003188,0.9
32,35.17024465709695,0.9645286742501706,1.3225831985473633,0.30290108919143677,0.24821772673355896,72.05076599121094,65.98654174804688,True,10,0.0001,0.0464158883361277,0.9
33,23.630401079287164,0.9153781099969635,3899.725830078125,1.949582815170288,0.34289707413307763,675.7520751953125,948.9366455078125,True,10,0.0001,0.0021544346900318,0.9
34,36.681136676972635,0.9645089685332542,199.93812561035156,5.107398986816406,0.19443766090067066,1046.962890625,965.6663818359375,True,10,0.0001,0.0464158883361277,0.9
35,21.734296566891736,0.8387151773978696,4379.7685546875,9.611928939819336,0.21059543013742996,1004.0892333984375,808.5889282226562,True,10,0.0001,0.0215443469003188,0.9
36,33.53516021769737,0.9745487005010601,40.459136962890625,2.190448760986328,0.147689162485716,659.9081420898438,305.30914306640625,True,10,0.0001,0.0046415888336127,0.9
37,20.393521296105206,0.8467331283109001,88.36944580078125,0.3534572422504425,0.3463803839194171,74.34537506103516,98.5744400024414,True,10,0.0001,0.0215443469003188,0.9
38,25.661526925724463,0.883742771651096,1258.709228515625,2.7122132778167725,0.38556552042221515,463.7638244628906,684.5487670898438,True,10,0.0001,0.0046415888336127,0.9
39,33.4998862792539,0.9754687547683716,86.20545196533203,4.174498558044434,0.22466350107380523,485.0020446777344,440.71234130859375,True,10,0.0001,0.0004641588833612,0.9
40,25.616335948932964,0.9347481686771839,41.391204833984375,1.0197607278823853,0.2964160820816505,111.97286987304688,122.91619873046875,True,10,0.0001,0.0215443469003188,0.9
41,26.48506132384093,0.9312921360498381,548.7913818359375,6.787137985229492,0.34107589977133435,559.1681518554688,495.6817321777344,True,10,0.0001,0.0046415888336127,0.9
42,43.21106769523272,0.96998103793376,0.059256140142679214,0.206025630235672,0.2588721153888146,36.68653106689453,35.35413360595703,True,10,0.0001,0.0215443469003188,0.9
43,37.45681066238214,0.9582523800609528,148.23370361328125,4.770357608795166,0.2035913201923806,923.0689086914062,909.4110717773438,True,10,0.0001,0.0464158883361277,0.9
44,27.63936078002437,0.9392963791164205,112.24080657958984,1.2513190507888794,0.38082451883247725,165.58267211914062,259.5212097167969,True,10,0.0001,0.01,0.9
45,38.75816550614478,0.9828616195849467,56.89164352416992,1.6759179830551147,0.14230193434778554,660.9796142578125,662.8597412109375,True,10,0.0001,0.0021544346900318,0.9
46,30.760840888893142,0.9626408814615017,79.42094421386719,1.2340266704559326,0.3899072920658218,246.3696746826172,312.39935302734375,True,10,0.0001,0.0004641588833612,0.9
47,25.153097918830948,0.9184880744607834,815.4761962890625,2.9925150871276855,0.2666128158554572,410.021240234375,520.5479736328125,True,10,0.0001,0.0046415888336127,0.9
48,34.002686402814845,0.9828602391899678,118.55135345458984,3.9594075679779053,0.22937855790865408,546.765869140625,547.16357421875,True,10,0.0001,0.0021544346900318,0.9
49,22.759034602039037,0.8918486990102339,181.99105834960938,1.9216225147247314,0.25610671794751677,192.17979431152344,185.6696014404297,True,10,0.0001,0.01,0.9
50,34.154428012226326,0.9463051618052833,322.6948547363281,8.237541198730469,0.2158773918927974,1451.9273681640625,969.6150512695312,True,10,0.0001,0.0046415888336127,0.9
51,26.53589256182416,0.9331132130249489,1327.496826171875,3.259425163269043,0.31030246934952693,659.2989501953125,775.357666015625,True,10,0.0001,0.0464158883361277,0.9
