sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,alpha,scaling,clip,lambda_,lambda_rd,anis_param,zeta
0,30.671106725231954,0.9646499225152781,0.0008380585932172835,0.010073531419038773,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
1,33.4081883929906,0.96311430568481,0.00045567171764560044,0.013643745332956314,0.07,1.0,1.0,True,100,1e-05,0.0464158883361277,0.9
2,33.09675722480897,0.9605794259115392,0.00045690155820921063,0.007131228689104319,0.07,1.0,1.0,True,100,1e-05,0.0001,0.9
3,37.379577335668735,0.9619255462205816,0.00016881436749827117,0.003779783844947815,0.07,1.0,1.0,True,100,1e-05,0.0046415888336127,0.9
4,33.96532996942846,0.9746216362259582,0.00039547632331959903,0.007135291118174791,0.07,1.0,1.0,True,100,1e-05,0.0046415888336127,0.9
5,36.5464378331259,0.9674837344217473,0.00020484371634665877,0.003856356954202056,0.07,1.0,1.0,True,100,1e-05,0.001,0.9
6,32.19415894466836,0.9721988548127737,0.000493828090839088,0.005788501352071762,0.07,1.0,1.0,True,100,1e-05,0.0021544346900318,0.9
7,42.0520196193753,0.9858007248341114,6.171778659336269e-05,0.0028388011269271374,0.07,1.0,1.0,True,100,1e-05,0.0004641588833612,0.9
8,33.82293723843057,0.957055373046205,0.00041115141357295215,0.006709063891321421,0.07,1.0,1.0,True,100,1e-05,0.0021544346900318,0.9
9,20.23403705449944,0.8097696212575444,0.009343316778540611,0.013357633724808693,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
10,34.860758937489244,0.9881026871094886,0.00032269867369905114,0.011382087133824825,0.07,1.0,1.0,True,100,1e-05,0.001,0.9
11,38.22009462027737,0.9706034609899924,0.0001504375832155347,0.006944718305021524,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
12,26.19893085726671,0.9552648701004384,0.0023830924183130264,0.0093654440715909,0.07,1.0,1.0,True,100,1e-05,0.0046415888336127,0.9
13,24.62617265806243,0.9089409312145041,0.0034362177830189466,0.013301867060363293,0.07,1.0,1.0,True,100,1e-05,0.01,0.9
14,37.2224703513612,0.9790325675186604,0.00018931840895675123,0.0069046830758452415,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
15,44.06304222736499,0.9780714521559399,3.9173166442196816e-05,0.004644370637834072,0.07,1.0,1.0,True,100,1e-05,0.0001,0.9
16,42.52614089913094,0.9862124401503181,5.571302244788967e-05,0.004525844473391771,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
17,41.23397642638082,0.9787837339659348,7.518719939980656e-05,0.005462610628455877,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
18,39.65650001171034,0.9762031302794091,0.00010444553481647745,0.0034535154700279236,0.07,1.0,1.0,True,100,1e-05,0.01,0.9
19,34.63638270569765,0.972337402487933,0.0003323857090435922,0.006639402825385332,0.07,1.0,1.0,True,100,1e-05,0.0021544346900318,0.9
20,34.85253771435009,0.9527555299601811,0.00027992657851427794,0.009991070255637169,0.07,1.0,1.0,True,100,1e-05,0.01,0.9
21,43.86773220249747,0.9905764421350077,4.099725993000902e-05,0.004432614892721176,0.07,1.0,1.0,True,100,1e-05,0.0464158883361277,0.9
22,28.88237508795867,0.9644236751554305,0.0012688878923654556,0.01142742857336998,0.07,1.0,1.0,True,100,1e-05,0.001,0.9
23,36.69472844788009,0.9636877598961809,0.00021363735140766948,0.007064414210617542,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
24,36.06775614926417,0.9562901480602037,0.00024628365645185113,0.010223528370261192,0.07,1.0,1.0,True,100,1e-05,0.0046415888336127,0.9
25,38.137760555088576,0.950327556407304,0.00015279394574463367,0.0034104185178875923,0.07,1.0,1.0,True,100,1e-05,0.0004641588833612,0.9
26,32.68786734214393,0.934813527788834,0.0004485904355533421,0.011735650710761547,0.07,1.0,1.0,True,100,1e-05,0.0021544346900318,0.9
27,39.84424051508966,0.986747389884187,0.0001035280292853713,0.005661191884428263,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
28,30.022124465643053,0.9304953690056278,0.0008680797764100134,0.015613231807947159,0.07,1.0,1.0,True,100,1e-05,0.0004641588833612,0.9
