sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,alpha,scaling,clip,lambda_,lambda_rd,anis_param,zeta
0,33.105794259263,0.969997135908857,67.336669921875,3.707576274871826,0.34774836348367144,380.2491455078125,375.16558837890625,True,10,0.0001,0.0046415888336127,0.9
1,28.76892301943517,0.9350411663860538,1198.7364501953125,7.1467719078063965,0.24015441484520367,971.1483154296875,950.7636108398438,True,10,0.0001,0.1,0.9
2,31.94289403101964,0.9663376123235937,319.5522155761719,4.022315979003906,0.38625821267522575,512.7401123046875,732.261962890625,True,10,0.0001,0.0004641588833612,0.9
3,30.45640655846592,0.9290834719379476,298.309326171875,3.195849657058716,0.2512509143027375,613.821044921875,599.059814453125,True,10,0.0001,0.1,0.9
4,31.089977231163783,0.9482937814788922,18.866647720336914,0.8586700558662415,0.3586154113259606,142.99176025390625,156.8626251220703,True,10,0.0001,0.0046415888336127,0.9
5,35.47802591610423,0.9712749601440779,6.444205284118652,0.5808091759681702,0.2984014461885117,143.14381408691406,156.83853149414062,True,10,0.0001,0.01,0.9
6,25.692934247188084,0.9338127818043652,7.687375068664551,0.25189000368118286,0.3835941794576113,41.16526794433594,59.02552795410156,True,10,0.0001,0.0021544346900318,0.9
7,24.748176700967445,0.9221734765021301,2489.667236328125,2.7383580207824707,0.44663002098548027,556.909423828125,866.3099975585938,True,10,0.0001,0.01,0.9
8,31.465281200400952,0.9530680304233626,256.01104736328125,4.061084747314453,0.2666972030993963,729.0828857421875,601.513916015625,True,10,0.0001,0.01,0.9
9,19.326666360086293,0.7922396827576539,5777.65576171875,4.779983043670654,0.24738832404476077,640.9019165039062,708.364501953125,True,10,0.0001,0.0464158883361277,0.9
10,23.976036467038288,0.9124891449023572,1.839604377746582,0.2367839813232422,0.23742317856810866,27.207515716552734,21.56390953063965,True,10,0.0001,0.0464158883361277,0.9
11,25.441853933252098,0.8965328247454575,2683.305419921875,4.470230579376221,0.3221071496670442,870.3429565429688,969.93994140625,True,10,0.0001,0.1,0.9
12,30.24534836487049,0.9690600138607409,650.70263671875,8.129388809204102,0.250994678057592,1015.291015625,832.6101684570312,True,10,0.0001,0.0215443469003188,0.9
