sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,alpha,scaling,clip,lambda_,zeta
0,24.65576963195861,0.8885134762447207,471.2529296875,7.244054317474365,0.04845482624585157,380.7405090332031,375.16558837890625,True,25,0.8
1,23.533219865383668,0.8521914682143962,4002.156005859375,30.52651023864746,0.042113662323534175,931.7965087890625,950.7636108398438,True,25,0.8
2,29.879022955073072,0.9332830093311933,513.9595947265625,10.536548614501953,0.05983660709436955,514.7506103515625,732.261962890625,True,25,0.8
3,-66.28272107122143,0.4366426501914371,1407925223424.0,2188389.5,0.03863034625941565,610.43896484375,599.059814453125,True,25,0.8
4,30.95890559073965,0.9674354394892052,19.444730758666992,3.948725700378418,0.03634551826552693,188.302978515625,156.8626251220703,True,25,0.8
5,-inf,,inf,inf,0.023304782452355267,212.1734619140625,156.83853149414062,True,25,0.8
6,23.249689862169753,0.8761658441705218,13.492814064025879,1.318518042564392,0.05934492823576891,41.32557678222656,59.02552795410156,True,25,0.8
7,36.34206758413027,0.9760552922607821,172.48533630371094,12.132692337036133,0.0445131018192114,870.899658203125,866.3099975585938,True,25,0.8
8,22.780249599862028,0.8443084105972289,1891.3062744140625,21.88181495666504,0.040314480520657045,734.3673095703125,601.513916015625,True,25,0.8
9,-55.71633863874068,0.28898660178972746,184523718656.0,1505072.25,0.0328162440589951,639.7719116210938,708.364501953125,True,25,0.8
10,-108.98625730698686,0.3334902445980702,36387629826048.0,12023347.0,0.033572015112573544,29.01528549194336,21.56390953063965,True,25,0.8
11,30.336812119011597,0.9438584988900259,869.3092651367188,15.340433120727539,0.040838067008539175,868.2483520507812,969.93994140625,True,25,0.8
12,28.853993861012597,0.941189287505252,896.433349609375,14.964997291564941,0.05686167296330586,813.1863403320312,832.6101684570312,True,25,0.8
13,-191.74726628758364,0.39939776516612713,6.771745706263248e+23,505651167232.0,0.03045512882858716,217.288818359375,213.12677001953125,True,25,0.8
14,34.569578198465976,0.9532415854318839,11.632922172546387,4.6613311767578125,0.03962231329993495,186.11752319335938,182.6431427001953,True,25,0.8
15,-94.75724909803887,0.4640751943644434,101320325332992.0,18755116.0,0.031376224827181755,203.8285675048828,184.22109985351562,True,25,0.8
16,37.10835935811638,0.9830750809488404,18.03673553466797,4.103039741516113,0.04537144082275024,281.05169677734375,304.93798828125,True,25,0.8
17,36.4340804768838,0.9631004761769921,62.637630462646484,9.888001441955566,0.05921581775597847,514.60302734375,525.231689453125,True,25,0.8
