sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,alpha,scaling,clip,lambda_,zeta
0,24.923258974265817,0.8903096723972154,0.003148177172988653,0.018719445914030075,0.25,1.0,1.0,True,25,0.8
1,22.64543882251276,0.8237714179391685,0.005431590136140585,0.03424575924873352,0.25,1.0,1.0,True,25,0.8
2,28.609256516127594,0.909195452919908,0.00128402269911021,0.01767006702721119,0.25,1.0,1.0,True,25,0.8
3,29.626820808397667,0.9065119194609793,0.0010062017245218158,0.02527731843292713,0.25,1.0,1.0,True,25,0.8
4,29.791851898560402,0.9571644930924424,0.0010338756255805492,0.0209763552993536,0.25,1.0,1.0,True,25,0.8
5,25.990296806033566,0.8910228869565633,0.0023282882757484913,0.024072367697954178,0.25,1.0,1.0,True,25,0.8
6,21.674034561934757,0.8121314415681844,0.005566577427089214,0.03418494388461113,0.25,1.0,1.0,True,25,0.8
7,36.119846093698065,0.972475490979735,0.00024189545365516096,0.012997908517718315,0.25,1.0,1.0,True,25,0.8
8,22.16641661458443,0.8144657387428459,0.006020794622600079,0.026511717587709427,0.25,1.0,1.0,True,25,0.8
9,17.699499366507084,0.6802062766383615,0.016747688874602318,0.04233483597636223,0.25,1.0,1.0,True,25,0.8
10,22.681392071828427,0.9020766727801427,0.0053300815634429455,0.05014720559120178,0.25,1.0,1.0,True,25,0.8
11,33.01027353820846,0.9483906849757436,0.0004992734175175428,0.02742859348654747,0.25,1.0,1.0,True,25,0.8
12,27.93333109750112,0.9291069219840384,0.0015984565252438188,0.01891496777534485,0.25,1.0,1.0,True,25,0.8
13,26.76249784169956,0.8855589365430937,0.0021011068020015955,0.029069360345602036,0.25,1.0,1.0,True,25,0.8
14,34.65312235729909,0.9562560106148046,0.000342079991241917,0.024011678993701935,0.25,1.0,1.0,True,25,0.8
15,26.936990251634665,0.9192546170639303,0.002021128311753273,0.023445336148142815,0.25,1.0,1.0,True,25,0.8
16,39.349241182735575,0.9782164587540277,0.00011578349949559197,0.017285441979765892,0.25,1.0,1.0,True,25,0.8
17,35.826538488209394,0.9519811318754781,0.0002611486124806106,0.02270994521677494,0.25,1.0,1.0,True,25,0.8
18,31.299833350429513,0.9481933823756882,0.0007154124905355275,0.022880837321281433,0.25,1.0,1.0,True,25,0.8
19,28.446923282439577,0.9283617913175876,0.0013822553446516395,0.02256903424859047,0.25,1.0,1.0,True,25,0.8
20,26.027329069684015,0.7986472279863707,0.0021358218509703875,0.041605766862630844,0.25,1.0,1.0,True,25,0.8
21,36.27959582442526,0.9795451044913293,0.00023527105804532766,0.016258394345641136,0.25,1.0,1.0,True,25,0.8
22,27.18879274829497,0.9003032923006175,0.0018740511732175946,0.04324312135577202,0.25,1.0,1.0,True,25,0.8
23,33.735982067902796,0.9356506103255677,0.0004222326970193535,0.02516803704202175,0.25,1.0,1.0,True,25,0.8
24,30.05252971393153,0.9212107285165196,0.0009839166887104511,0.028637202456593513,0.25,1.0,1.0,True,25,0.8
25,31.82286368701898,0.9363246081460371,0.0006540272734127939,0.01701490208506584,0.25,1.0,1.0,True,25,0.8
26,28.84133455852747,0.8900032149139077,0.0010876852320507169,0.02824370190501213,0.25,1.0,1.0,True,25,0.8
27,31.763892506698014,0.9598110277432529,0.0006654152530245483,0.021115742623806,0.25,1.0,1.0,True,25,0.8
28,27.104670916083684,0.8334238951753595,0.001699436572380364,0.03184923902153969,0.25,1.0,1.0,True,25,0.8
29,32.22265260217531,0.9790970169169246,0.0005987013573758304,0.011037852615118027,0.25,1.0,1.0,True,25,0.8
30,21.138951905601708,0.8740289307144635,0.007681444752961397,0.02493639662861824,0.25,1.0,1.0,True,25,0.8
