sample_idx,sigma_y_tomo,procedure,scale,alpha_norm,sigma_used,reg_param,alpha_init,reg_fct_type,sampling_param,best_anis_param,best_anis_idx,ula_samples,time_ula,psnr_map,ssim_map,mse_map,psnr_mean,ssim_mean,mse_mean,post_std_mean
0,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.01,6,100000,82.4754159450531,25.65013462023809,0.861862488036767,0.0026630028170007,24.659227287565475,0.8197055937774941,0.0033455102061168,0.0320931589482706
1,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.01,6,100000,82.08826661109924,29.174336372117217,0.9217889240969503,0.0012079173668857,28.949787340756,0.9102479201520736,0.0012720146949729,0.0351040539028578
2,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,81.27067112922668,30.037918259147155,0.9067373765423368,0.0009240735184517,28.820353275554854,0.8663084983777635,0.0012231029764227,0.0305027940032392
3,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.1,9,100000,81.50279116630554,29.51095437206421,0.9268672867082252,0.0010334077103554,29.377268395640804,0.918282996845177,0.0010657130777078,0.0255075113333386
4,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,82.69198942184448,32.24817371601166,0.9646375607363497,0.0005872676894921,30.607251883664187,0.9247073320362588,0.0008568963453254,0.0314743900815241
5,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,83.49091458320618,27.413795304861477,0.8762599650869337,0.0016775938719776,26.563906700895423,0.8214918579996946,0.0020402138499481,0.0341143527744409
6,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,82.1560845375061,27.698579734389757,0.8762595855845619,0.001390380782542,27.690088336418317,0.8355975464530042,0.0013931019375391,0.0332451036214275
7,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,82.51233315467834,31.961187562238727,0.9460680278926448,0.0006302219346716,31.37726477119398,0.9112379610364658,0.0007209178746548,0.0251131793124852
8,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.01,6,100000,82.96948504447937,33.375279605079925,0.9271543408001424,0.0004557928731145,29.56238979108481,0.8477102891116133,0.0010966208821167,0.0350314142223265
9,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.001,3,100000,82.2137999534607,30.363736197660792,0.8956645795535455,0.0009068410280539,28.41994587194209,0.8593458734595704,0.0014187641081869,0.0446403350415085
10,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.0021544346900318,4,100000,82.29438781738281,29.168361091021065,0.9197176672958374,0.0011968422955949,27.331206627089237,0.8639771606725036,0.0018270581707901,0.0383984674801276
11,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,82.59442710876465,37.484946355734735,0.9776053847835195,0.0001781849864975,35.41327332238858,0.9706496043059204,0.0002871034503653,0.033611628466206
12,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,82.42053198814392,29.587695043531443,0.926086603076866,0.0010921051217992,28.521336545171216,0.9056300285735857,0.0013960478165332,0.0273176658006658
13,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.01,6,100000,81.99160528182983,33.325401336887865,0.9366827306328654,0.0004636153376815,32.448671004991475,0.921008265977824,0.0005673235716541,0.034380473849567
14,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.0464158883361277,8,100000,81.19601511955261,38.176616881623495,0.9796739635222252,0.0001519771239334,34.858582966957286,0.935677872642228,0.0003262733581962,0.0314765731543342
15,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,82.38084864616394,35.50160512052666,0.9469932705685864,0.0002812758395408,33.509691783121404,0.9220670917195728,0.0004449628604169,0.0273661557782089
16,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,81.78974556922913,39.30783820255003,0.9831482625748612,0.0001168925946753,35.4605185219089,0.9469688020740812,0.0002834777433595,0.0267878129972305
17,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.1,9,100000,82.63652682304382,37.83170805842418,0.9785603903738612,0.0001645775957361,36.88235492235246,0.969847956091712,0.0002047887179473,0.0263910498434794
18,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,81.856769323349,33.94656242632287,0.9627253634268584,0.000388940891009,33.6880556357408,0.9501717043102876,0.0004127948627421,0.031891612879042
19,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,82.14784097671509,28.661405637048183,0.9011025797246516,0.0013156488936204,28.11536029631643,0.8732342402382062,0.00149191657496,0.0299398161571315
20,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,82.16872787475586,31.106104987881203,0.9103326250685176,0.0006632655557783,28.30797020772465,0.7921147583392695,0.0012632837870041,0.0404661738730462
21,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.001,3,100000,83.3103621006012,30.33505566708235,0.94279198235315,0.0009247461130168,30.0540421776672,0.9206590964417034,0.0009865608187382,0.0353943487956537
22,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.001,3,100000,82.69066882133484,31.1317048099625,0.9435810070824184,0.0007559451103826,29.37135530947409,0.8833888657518607,0.0011337706555585,0.0397194346154773
