sample_idx,sigma_y_tomo,procedure,scale,alpha_norm,sigma_used,reg_param,alpha_init,reg_fct_type,sampling_param,best_anis_param,best_anis_idx,ula_samples,time_ula,psnr_map,ssim_map,mse_map,psnr_mean,ssim_mean,mse_mean,post_std_mean
100,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.1,9,100000,75.2783637046814,32.459289779696604,0.9673857983884923,0.0005673035126082265,31.25920006501015,0.9747349965743849,0.0007478671272604504,0.025609401961194368
101,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.002154434690031882,4,100000,75.70135617256165,31.77460622701045,0.8807154670101591,0.0003006448256221707,27.537736993602007,0.8623083929188691,0.0007975182995039717,0.027005676305529077
102,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.046415888336127774,8,100000,75.33614325523376,25.506399585769937,0.882924075499769,0.0023826858222358886,24.773540313736135,0.8619136197816266,0.00282067278194163,0.028348265425583528
103,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.021544346900318822,7,100000,76.0670394897461,26.92472734164943,0.9397340757606226,0.002029762151734019,24.479078711047006,0.9009068663898148,0.003564593519209101,0.03319766922108367
104,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.004641588833612777,5,100000,75.40622186660767,24.943932927466683,0.8549446287763794,0.0030452662341520853,23.606398225386364,0.8472381011020436,0.0041436087098327455,0.0369426228660898
105,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.021544346900318822,7,100000,74.97634840011597,22.506044119880183,0.9133694028574567,0.005595204631134576,22.31810428971752,0.9088267554442006,0.005842651163349945,0.027728535802716923
106,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.046415888336127774,8,100000,75.28160643577576,25.1282691920288,0.9422561909218357,0.0030649194585604792,25.071404930367084,0.937132901764791,0.0031053137946910753,0.024966640701595044
107,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.001,3,100000,76.23704814910889,34.19040411450548,0.9606763399714139,0.00038100891747453673,29.499643733757132,0.940360536095924,0.001122047334775374,0.03123208876562759
108,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.046415888336127774,8,100000,75.48640942573547,25.418791566040497,0.9238842092954273,0.0028686431164364735,24.239785434279266,0.8956883938504655,0.003763371874227374,0.03637873844522008
109,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.002154434690031882,4,100000,74.6848771572113,25.07051154985135,0.9194038108073399,0.003108153360227725,24.051615985499765,0.9151820629366306,0.003929994980956415,0.03634815566711363
110,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.021544346900318822,7,100000,75.14298033714294,35.98533338208515,0.9683802222421756,0.00025166386929431227,32.244557747575854,0.9651846514051733,0.0005955228542770661,0.036177714925957824
