sample_idx,sigma_y_tomo,procedure,scale,alpha_norm,sigma_used,reg_param,alpha_init,reg_fct_type,sampling_param,best_anis_param,best_anis_idx,ula_samples,time_ula,psnr_map,ssim_map,mse_map,psnr_mean,ssim_mean,mse_mean,post_std_mean
300,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.00021544346900318845,1,100000,77.95085883140564,36.53939926326322,0.955333219150251,0.0002204555029397881,27.787441367807965,0.9013368192262753,0.0016539285101586172,0.027371968803198452
301,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.001,3,100000,77.93818020820618,25.02937741219981,0.8849510236085287,0.0030286062597770897,23.976796565088364,0.8830973947185081,0.0038592321167380604,0.03224652795985051
302,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.021544346900318822,7,100000,77.28277850151062,32.07551967508993,0.9545256302178445,0.0006200011610597397,25.050836932667103,0.9163281198204443,0.0031250773919439773,0.04155120342078368
303,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.01,6,100000,77.18703961372375,23.81399522932345,0.8756234045846195,0.004129505822306784,23.31622275903909,0.8805740304579084,0.004631005852092768,0.03706861480190747
304,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.021544346900318822,7,100000,77.47441911697388,21.381750972443964,0.8437793486327193,0.00722614765783205,21.02034927396952,0.8389402608742129,0.007853206212395106,0.03240426647694383
305,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.001,3,100000,78.05012488365173,27.931633679955148,0.9126289461412775,0.0015953868230666427,22.244532786659917,0.8391132755934958,0.005909844992421244,0.039718850375011015
306,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.001,3,100000,77.12097406387329,31.71471832012418,0.9516008771620962,0.0006640529145996896,29.555985713231774,0.9577236058958704,0.001091631220390239,0.033290868362187066
307,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.021544346900318822,7,100000,77.13987445831299,26.602225843067806,0.8713916168987216,0.002083853394809701,23.96430674282285,0.8576534529915372,0.003825243376553381,0.03219766171494472
308,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.021544346900318822,7,100000,77.08465099334717,28.778854041245665,0.9326199708794121,0.0012620175347882816,27.595566418887497,0.9202099771336962,0.0016572733679262376,0.024641581340697438
309,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.021544346900318822,7,100000,77.9039318561554,35.68805025011341,0.9896635804531776,0.00026961536876175205,29.639006400032596,0.9666494250261521,0.001085547994808983,0.02404946827450572
310,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.002154434690031882,4,100000,77.65607643127441,29.292690400450375,0.919678494071234,0.0011380457373380832,23.219643347707155,0.8549624347929612,0.004607490216384788,0.03448548857216239
311,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.01,6,100000,77.72062587738037,37.641766704529324,0.9604376198022901,0.00016985224082353197,30.650987244111356,0.9379824128282549,0.0008494723099454649,0.02385613717125021
312,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.01,6,100000,77.76608872413635,24.620203660119305,0.8834115091865177,0.0034321555558995847,24.085924523795228,0.9178965263920223,0.003881457871826076,0.02583472409819129
313,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.021544346900318822,7,100000,77.01524090766907,27.26721665885536,0.9445972182916444,0.0018741278550783802,24.846041334184278,0.9344000510990785,0.003272779514395953,0.032100485630190384
314,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.002154434690031882,4,100000,78.0067310333252,33.90431476506563,0.9397067494916138,0.0004009449087327242,27.748854287213284,0.9017381947428027,0.0016543627806036001,0.03640713963791985
315,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.021544346900318822,7,100000,77.54322719573975,38.731085849691716,0.9931329906539789,0.00013361947604156825,34.808568604844,0.9823466741781715,0.00032970192962575865,0.023358066595141114
316,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.004641588833612777,5,100000,77.50828456878662,34.59365504780055,0.9742524968990368,0.0003376282995487156,26.436853851454707,0.8948662803846557,0.0022086096281813696,0.026666608841045818
317,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.002154434690031882,4,100000,77.46115756034851,31.303125410670173,0.9379072796532708,0.000697745793861953,26.650574849177016,0.9236007044366873,0.0020368182766546655,0.0346771413517955
318,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.01,6,100000,77.62615728378296,34.376401804114806,0.9409229825768273,0.00036228407384917356,25.516182580937897,0.8626470778029806,0.0027865777496113233,0.0389933488526977
319,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.046415888336127774,8,100000,77.15986061096191,28.203051320060403,0.9583629919725134,0.0015122489733444733,27.47006621522889,0.968187808461036,0.0017902834990850566,0.03345592138317948
