sample_idx,sigma_y_tomo,procedure,scale,alpha_norm,sigma_used,reg_param,alpha_init,reg_fct_type,sampling_param,best_anis_param,best_anis_idx,ula_samples,time_ula,psnr_map,ssim_map,mse_map,psnr_mean,ssim_mean,mse_mean,post_std_mean
0,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,99.11158418655396,30.566888795332492,0.9331966306909604,0.0008584128463764,30.158228802036334,0.93564167268098,0.0009431096913558,0.0296642399253713
1,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,98.02646851539612,31.64989358292184,0.9302720041169176,0.0006830956257668,32.2978979242213,0.970659637909724,0.0005884113890861,0.0294878661359245
2,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,98.88014340400696,33.03906548006168,0.9192258253967988,0.0004630115263147,31.711823272470625,0.9092905351761272,0.0006285155447529,0.0281777538193648
3,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,99.87263035774232,34.047673886045786,0.9366254189195846,0.0003635797997726,34.413942588870185,0.957365002045126,0.0003341741683084,0.0302391051027327
4,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.0021544346900318,4,100000,99.08220791816711,32.053026720613715,0.9277427241069108,0.0006142579794853,33.31777622765108,0.9728373186018072,0.0004590667690422,0.0288036949294988
5,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.01,6,100000,99.74898099899292,34.57599153635297,0.948164397352794,0.0003224535836327,33.15983643909177,0.9528093576824253,0.0004467686775559,0.0290053313731297
6,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.001,3,100000,99.34533762931824,31.596274999297837,0.906693057587744,0.0005667143764019,31.79879346607432,0.9337933210693948,0.0005408942731648,0.0315556447516045
7,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,98.73049926757812,37.19169504757062,0.9653013043668484,0.0001889917150066,39.1502448507918,0.985908515807256,0.0001203892712971,0.0231008744377565
8,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,98.37099146842957,32.755534087972805,0.9462895039562071,0.000525704968827,32.79689362131209,0.9667885486837976,0.0005207222421494,0.0283239120959015
9,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,98.199143409729,29.161409609173138,0.9006581438481779,0.0011960898898723,29.249726712703715,0.9328392353885192,0.0011720121369442,0.0365716577922867
10,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.0021544346900318,4,100000,98.92074584960938,35.120454275558245,0.9576859765404928,0.000303967820834,33.12795777159667,0.94396057780362,0.0004809248967348,0.0330583723952703
11,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.1,9,100000,97.65130686759947,38.073456602066535,0.9800464698706368,0.0001556037588528,38.32923569909952,0.9866218047597576,0.0001467040738954,0.0267119759764819
12,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.01,6,100000,98.44389057159424,34.166643005111986,0.9776485975421164,0.0003805131305056,35.08592643510144,0.9857199969543184,0.0003079224153567,0.0262191355810079
13,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,98.55347228050232,30.020644590204878,0.9387810150539504,0.0009922782450089,31.269994851076497,0.9613248866842516,0.000744215042147,0.0316750393509395
14,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.1,9,100000,99.22278809547424,35.729514249332055,0.9849664389775242,0.0002669859975243,35.58528812623738,0.9890437788056008,0.0002760012805559,0.0267580057863946
15,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,98.60403943061829,38.57843529004598,0.96646036282131,0.000138499884961,35.30901953746604,0.9651910575532686,0.0002940295558799,0.025364496152452
16,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.0464158883361277,8,100000,99.10691046714784,38.32965992763393,0.9859182772876012,0.0001464214914633,37.7797497258602,0.9884133435996366,0.0001661865402154,0.0231771784322671
17,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.1,9,100000,98.1861138343811,40.27247173076493,0.9815862339515437,9.381976619560484e-05,41.265359068563285,0.9914285790642724,7.46458405100549e-05,0.0250521487494312
18,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.01,6,100000,98.76159024238586,36.41144004431033,0.9656576318088992,0.0002204935262434,37.63790411698401,0.9818624400721828,0.0001662453228542,0.0277263005584446
19,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,98.66359329223631,33.44499118142734,0.9542060132940016,0.0004373019867256,33.16486828285503,0.9697715564108874,0.0004664378021241,0.0245891737367662
20,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,98.63157939910889,32.75450777089547,0.9172743132310532,0.0004537818967923,33.471776254116186,0.9494733274673278,0.0003846983448693,0.0310800516021636
21,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.0464158883361277,8,100000,97.9879870414734,40.48011703732427,0.9889741810806232,8.943682584450383e-05,40.97035582641315,0.9945813482579988,7.989001424363243e-05,0.0239994855471056
22,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,98.72742104530334,33.3908672921077,0.9274609182150676,0.0004493388961241,33.122240933414446,0.9487698578789072,0.0004780096343044,0.0325418775958646
23,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.1,9,100000,98.5396077632904,36.183672272259074,0.9689894376667986,0.0002403160693272,36.66832320918113,0.9827896785082408,0.0002149402344496,0.0264493940687897
24,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.01,6,100000,98.53975319862366,32.7654007852205,0.960481217622454,0.0005268308090481,33.27012788744128,0.9749863788302126,0.000469027659124,0.0297528177436253
25,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.01,6,100000,98.64613509178162,37.10062564872729,0.9418413827795178,0.0001940080060771,37.16327399122645,0.9581781075395958,0.0001912294685002,0.028779038398733
26,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,98.62005734443665,31.360117406612456,0.9317375909115276,0.0006090107326986,31.61939823235972,0.9442692715219164,0.0005737158704821,0.027039086938294
27,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,99.06598091125488,37.37475407123088,0.9791798369360736,0.0001828127817944,36.50438940188111,0.9810879477974924,0.0002233793506494,0.0307138322192764
28,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.001,3,100000,99.71227836608888,31.74760629551845,0.9080491891588288,0.0005834605018884,31.51399485414055,0.9157421991857134,0.0006157048936383,0.0356058018460003
29,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,99.79681849479675,36.196352721433584,0.9802204404516108,0.0002397950512315,36.33779346565037,0.9903190913955224,0.0002321112239581,0.0249057851043629
30,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.0464158883361277,8,100000,98.91952848434448,28.93524676545006,0.9411280247356788,0.0012758904273797,29.671953951351256,0.972325964276835,0.0010768188774944,0.0231721870323052
31,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.01,6,100000,98.596497297287,30.890552541571424,0.938288483344124,0.0008068587103082,30.64815790757539,0.9440980812538078,0.000853172709356,0.0302832984366388
32,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.1,9,100000,98.33706307411194,39.32396874958169,0.9859336631131458,0.000116718543682,39.49025052974616,0.9912466914867796,0.0001123341186142,0.0239431782527003
33,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.1,9,100000,98.69663500785828,35.12344570553796,0.9855539598565662,0.0003070825552792,35.46793025288808,0.9885311249251496,0.0002836656122475,0.0223504561787835
34,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.1,9,100000,98.61431741714478,36.21682827684542,0.9765701736890696,0.000238600990814,37.16417690336084,0.9873729369769362,0.0001918392112444,0.0244238088157101
35,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.0464158883361277,8,100000,98.76897597312929,30.33505503476597,0.9469791066141174,0.0009245271586481,30.349767744589386,0.9586359091355064,0.0009214004126417,0.0300107640354391
36,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.0021544346900318,4,100000,98.07570505142212,33.53667737744014,0.9638893008151048,0.0004338956352085,32.51565941851329,0.9628818910701794,0.000548892222662,0.0285488888247839
37,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.01,6,100000,99.8784990310669,30.699659172918672,0.9552858491917368,0.0008475389804183,32.187846986360874,0.9741631523084454,0.0006016458151933,0.0269903581530151
38,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,98.84102463722228,33.63638500586343,0.9357422805442742,0.0004281843258649,34.94589678442395,0.9602553707346718,0.0003167229891986,0.0278611124862289
39,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.01,6,100000,99.38594126701356,31.54128747628237,0.9634672151387028,0.0006967615909238,30.79716611823298,0.9671068911198992,0.0008269825352197,0.0296124633115152
40,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.0464158883361277,8,100000,98.48962306976318,34.13419344999738,0.968206106732291,0.0003853931936156,34.380879459037835,0.9780228669875374,0.0003641123750096,0.0259284169177449
41,0.5,False,1.0,1.0,0.5,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,98.67242741584778,31.84520544206772,0.9686042245191244,0.0006501103356561,32.504071433550635,0.9777129849745708,0.0005585994085041,0.029652264058651
