sample_idx,sigma_y_tomo,procedure,scale,alpha_norm,sigma_used,reg_param,alpha_init,reg_fct_type,sampling_param,best_anis_param,best_anis_idx,ula_samples,time_ula,psnr_map,ssim_map,mse_map,psnr_mean,ssim_mean,mse_mean,post_std_mean
0,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.01,6,100000,77.37727284431458,28.24841326910964,0.9095006810799072,0.0014640090485555,26.778975990212302,0.8919592433517692,0.0020534658693903,0.0261665251283959
1,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.2154434690031882,10,100000,79.12616729736328,23.11403446870351,0.8844958821312191,0.004876041752598,22.890314350752984,0.8854949982353162,0.0051338056965218,0.0221421992621779
2,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,78.49189949035645,33.194723895961786,0.9302982671764188,0.0004467102945262,29.30860693767415,0.8841893646447317,0.0010930440306665,0.0263351825174809
3,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.0021544346900318,4,100000,79.09163665771484,35.93653290809768,0.9535372456986438,0.0002353498056098,27.24982738159133,0.8975975653337214,0.0017393396473206,0.0312934005581093
4,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.0464158883361277,8,100000,77.35754537582397,25.11376790989421,0.909264265634934,0.0030358246846099,24.55178135964482,0.9114135432411768,0.0034552171205283,0.0211645000463016
5,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.01,6,100000,79.68697953224182,33.61151541570631,0.953284627184559,0.0004026380554484,28.89519818369451,0.9375121612772616,0.0011927420846774,0.0279168430481392
6,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,79.41484808921814,29.473752298484083,0.9402557899824528,0.000923881987682,24.63873324612436,0.8366751226913801,0.0028126675665528,0.0313775156592455
7,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.1,9,100000,78.27535009384155,30.598256513010984,0.9559003837323572,0.0008625546474668,30.469318092498376,0.9713923414754426,0.0008885471159023,0.0179211422095545
8,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,79.87728667259216,30.05383401373831,0.9353220674473632,0.0009792917352828,27.88932126851724,0.948938859534384,0.0016119937878245,0.027743926562628
9,0.07,False,1.0,1.0,0.07,0.1,0.01,anisotropic,0.0125,0.1,9,100000,79.75876355171204,18.832809635646534,0.7648412454265132,0.0129010131173746,19.06004633283778,0.7889274978584054,0.0122433466809928,0.0281443672373939
