sample_idx,sigma_y_tomo,procedure,scale,alpha_norm,sigma_used,reg_param,alpha_init,reg_fct_type,sampling_param,best_anis_param,best_anis_idx,ula_samples,time_ula,psnr_map,ssim_map,mse_map,psnr_mean,ssim_mean,mse_mean,post_std_mean
0,0.25,True,375.16557872851513,380.4129440884647,0.250772765918917,0.1,0.01,anisotropic,0.0125,0.01,6,100000,78.32162976264954,27.74055190233625,0.8968036475957654,231.61989908847545,26.90631088267925,0.8904483812038411,280.67256917328393,11.391059964885477
1,0.25,True,950.7635921035062,971.3991663019474,0.1690367704994012,0.1,0.01,anisotropic,0.0125,0.2154434690031882,10,100000,76.2203676700592,23.052940000474766,0.8816984179546661,4470.148472830014,23.049825227227306,0.8864528314935479,4473.355626878134,23.040094305656567
2,0.25,True,732.2619478695937,513.4102939362378,0.2766607766997983,0.1,0.01,anisotropic,0.0125,0.001,3,100000,77.12413191795349,33.389480022889785,0.9195767317772384,229.0252054234501,31.06989059193254,0.90204158705052,390.6989323537077,17.912248294690244
3,0.25,True,599.0598257128396,612.6936624542633,0.1801326580784853,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,77.69648265838623,32.441068321068855,0.944861823156616,188.88640209798885,30.510280285844708,0.9543451063460614,294.63171775208434,17.656920553342765
4,0.25,True,156.8626218019941,142.59068982443108,0.25530348754837,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,79.43355941772461,29.54489007870504,0.9368647918529432,26.92795730985012,28.01597501632473,0.9436022037999028,38.29084199574508,4.372610549360006
5,0.25,True,156.83852581586643,142.5239615779027,0.2213628365796268,0.1,0.01,anisotropic,0.0125,0.01,6,100000,78.58243894577026,31.688795119998943,0.9479416103668202,15.420283300823767,29.587216334683927,0.9463406169484108,25.01786422150342,4.481044507723018
6,0.25,True,59.02552855603126,41.2187038338747,0.3104915763832666,0.1,0.01,anisotropic,0.0125,0.0021544346900318,4,100000,80.28869032859802,29.130628841182396,0.9344728452724516,3.4834422520103043,26.533570914124613,0.8762169320880094,6.334530155852531,1.60083894653673
7,0.25,True,866.3099696291603,556.4368410506729,0.3176180227342491,0.1,0.01,anisotropic,0.0125,0.01,6,100000,77.53575491905212,35.39590750859026,0.963749013660439,214.47078661783155,35.166206425951266,0.9753397380727724,226.11962311139763,15.576154795886463
8,0.25,True,601.5138967314656,730.844308987951,0.1895530465418927,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,77.88757538795471,29.421138876457125,0.9291006335085644,409.89529526511205,27.549771918780124,0.9412548920925554,630.6808282974449,21.50858257036296
9,0.25,True,708.3645052182494,640.5252948698678,0.1935866274909006,0.1,0.01,anisotropic,0.0125,0.0464158883361277,8,100000,76.62885475158691,19.34568854486164,0.769344186029454,5752.405709899395,19.54394993388893,0.7970820931999523,5495.704459624033,21.13304548566885
