sample_idx,sigma_y_tomo,procedure,scale,alpha_norm,sigma_used,reg_param,alpha_init,reg_fct_type,sampling_param,best_anis_param,best_anis_idx,ula_samples,time_ula,psnr_map,ssim_map,mse_map,psnr_mean,ssim_mean,mse_mean,post_std_mean
0,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,83.41171908378601,25.334685243450465,0.8773995779956848,0.0028636277580965,25.105605737042247,0.8759822152596507,0.0030187316918119,0.0292702147291721
1,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,80.95720410346985,25.165960515543627,0.8957864205967035,0.00304000859198,24.54896352922201,0.8987434040321184,0.0035040840092733,0.0342430565164717
2,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0001,0,100000,82.44740867614746,30.074306359624327,0.8955068274222737,0.0009163633571489,27.687915693821186,0.8435025046857412,0.0015874745854005,0.0360082025423861
3,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0021544346900318,4,100000,81.79904222488403,31.562297715883474,0.9235833532663692,0.0006443730422615,28.193019194981154,0.916071300059593,0.0013997975054902,0.037838249375876
4,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0021544346900318,4,100000,80.15106725692749,28.19396507779722,0.9163483461941552,0.0014936779543235,26.543773894908902,0.9234916710983908,0.0021841179568047,0.035060643883486
5,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,79.13249230384827,29.024978920876904,0.9260899732923072,0.0011576265252975,26.47411293641757,0.904117640899996,0.0020828359636315,0.0357062189617083
6,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0021544346900318,4,100000,79.93218970298767,27.88178116067464,0.9154568606750184,0.0013329492475071,23.4223492416425,0.7946473699224904,0.0037218323439119,0.0381862520757913
7,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0021544346900318,4,100000,80.73572945594788,32.02161186538523,0.9481835565011172,0.0006215142410205,29.19661174579961,0.9261110035538328,0.0011911078756492,0.0315325955785341
8,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.01,6,100000,81.00073194503784,28.60243796693231,0.9075283512955588,0.0013678916357593,26.99083011781244,0.9278506499678166,0.0019824967265448,0.034468838164867
9,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,80.23414468765259,19.747163889959168,0.7587370066103727,0.0104517350377005,19.878681559180965,0.7784559321549551,0.0101399689343348,0.0375927992348136
10,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0004641588833612,2,100000,81.96913528442383,27.203452408752145,0.9253355572215288,0.0018816021328904,21.68870172462816,0.7981826633806653,0.0066988902875644,0.0445225507552237
11,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,83.3188169002533,32.87146543972788,0.955177480020839,0.000515488759942,31.09384440452039,0.9678449409600176,0.0007762136998681,0.0374445099224549
12,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0021544346900318,4,100000,81.54674887657166,23.311993253389907,0.9070686061937852,0.004632704751304,22.93907639179014,0.9081256830544756,0.0050480809326313,0.0353169226005447
13,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,80.19218397140503,23.352533128878857,0.8539100710591525,0.0046072800996799,22.348069167102565,0.8778378940937226,0.0058061869080287,0.0388611161360912
14,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,83.13756728172302,35.32106410267984,0.9698168759300536,0.0002933144774118,32.57870081127069,0.9736447260952472,0.0005515308737961,0.0370373122651301
15,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0002154434690031,1,100000,80.48727178573608,30.512738301375897,0.9259226958454352,0.0008871950530365,26.400154673120213,0.8783420986162509,0.0022870595580999,0.0374716457027944
16,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.01,6,100000,81.11748385429382,35.76597691954633,0.9750493797271186,0.0002642245257771,30.59951981385857,0.9586422119555504,0.0008681981132073,0.0304343211405851
17,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.01,6,100000,81.97068572044373,32.40450960457358,0.962759366883707,0.0005742361892676,29.29088802411942,0.9583998656675992,0.0011761229294999,0.0379070653335035
18,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.01,6,100000,78.93060779571533,30.34591209836725,0.9345425519644004,0.0008911455393533,28.86349383901493,0.9374255731438098,0.0012536908710878,0.0325863719778164
19,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,83.03724002838135,29.41028210174252,0.9057102053989742,0.0011072670040739,27.558410614926743,0.9299948043562414,0.0016960533423013,0.0316842863796622
20,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0021544346900318,4,100000,82.74706625938416,29.88408035962785,0.8346812663694495,0.0008787997146798,25.65174527243793,0.8432868331560844,0.0023287529387825,0.044056191940048
21,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,80.34280490875244,35.58192157261081,0.9802302674996298,0.0002762713971344,33.40249280084377,0.9832305943738344,0.0004563297689339,0.0292507193382939
22,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0002154434690031,1,100000,84.86381340026855,26.65455915641057,0.8638852121281043,0.0021193604599779,23.819485929225685,0.8309472996685116,0.0040711035629819,0.0465571349055937
23,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.01,6,100000,83.4364173412323,33.142613725748895,0.9396737162675932,0.0004840482636636,30.369859000056284,0.9576221562512032,0.0009165668359718,0.0406602794396658
24,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,81.15383267402649,27.705636232804384,0.9038232526235082,0.0016890698888597,27.121671210122823,0.926909028247867,0.0019321646049578,0.0370713517889442
25,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0021544346900318,4,100000,83.54525232315063,35.81400185527747,0.9354559769571392,0.0002609047774401,28.22478361365993,0.8646554977506686,0.0014976276709597,0.0372536518185575
26,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,80.07974672317505,26.918371255770627,0.8425929058514784,0.001693555998459,26.708201189199524,0.8868372788951232,0.0017775284810454,0.0355701942032136
27,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,81.29049921035767,36.99822227584809,0.9816988225484368,0.0001993699668883,35.3669737449342,0.9865409406070584,0.0002902582615672,0.0310928873019496
28,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0021544346900318,4,100000,80.21513676643372,27.75295895572625,0.8252615182694697,0.0014637813018278,26.40718531557887,0.8692783402193067,0.0019955083953076,0.0415902188281358
29,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.001,3,100000,80.44267988204956,29.463066848272057,0.9452250728314396,0.0011302351338976,30.580486220530844,0.9671399417688548,0.0008738298300484,0.0395687151373903
30,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,79.19346833229065,23.059850088780134,0.9052374051083686,0.00493574877873,22.59450032770453,0.8881164201753118,0.0054939920018608,0.0285512779632209
31,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,81.23229146003723,18.977458417135438,0.7917503843161621,0.0125344968103505,19.261361103984957,0.7791524153640826,0.0117413121847091,0.0377998384532568
32,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.01,6,100000,79.81914329528809,33.884003061660685,0.9619787436061178,0.0004084476756271,32.053254761003096,0.9741447517674182,0.0006226030717045,0.0346338167687746
33,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,79.18286466598511,27.73390334549619,0.9628204717491554,0.0016834855064215,28.134101590709975,0.973572569740503,0.0015352869459182,0.029862994095792
34,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,80.17765784263611,33.89207277958409,0.9649961039306,0.0004075189348763,32.48846496777987,0.9762943615906476,0.0005630002318451,0.0335045234993478
35,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,78.56536316871643,21.32372061001128,0.8392532635911444,0.0073629714393413,20.67681713587941,0.8290374173299394,0.0085456177615926,0.0380606435699956
36,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.01,6,100000,80.35330033302307,27.119627960129648,0.9302751181915908,0.0019014732629584,25.14283696851825,0.8982852030731435,0.002997569921299,0.0307744683707583
37,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0021544346900318,4,100000,79.75567436218262,23.72771622173696,0.9114583460250558,0.0042204035214291,23.183314825570072,0.8976438424213609,0.0047840324450153,0.0372872227350354
38,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,79.88779211044312,29.25529969800872,0.8815624812968331,0.0011741924842632,28.16669229940694,0.916045691169476,0.0015086900846272,0.0324526301335478
39,0.7,False,1.0,1.0,0.7,0.1,0.01,anisotropic,0.0125,0.0021544346900318,4,100000,81.13399386405945,26.21884951026349,0.8931874349977685,0.0023731653501875,24.695340183041846,0.8933686014682245,0.0033703804845728,0.0394064986229919
