sample_idx,sigma_y_tomo,procedure,scale,alpha_norm,sigma_used,reg_param,reg_fct_type,sampling_param,best_anis_param,ula_samples,time_ula,psnr_map,ssim_map,mse_map,psnr_mean,ssim_mean,mse_mean,post_std_mean
0,0.35,False,1.0,1.0,0.35,0.1,anisotropic,0.0125,0.0046415888336127,500000,400.0750484466553,27.742343416205976,0.8885137959573949,0.0016449425936946,26.825817745533705,0.8906770548332069,0.0020314367895939,0.0328830481887029
1,0.35,False,1.0,1.0,0.35,0.1,anisotropic,0.0125,0.0464158883361277,500000,402.35428953170776,24.918072945786463,0.9009539422624412,0.0032185745139619,24.757781521687946,0.9071472341365954,0.0033395866050187,0.0300318560152762
2,0.35,False,1.0,1.0,0.35,0.1,anisotropic,0.0125,0.001,500000,415.5008301734924,32.34762268478204,0.9129616773872028,0.000542920302136,28.760085478450463,0.8673723247384886,0.0012401945049362,0.0336172216468733
3,0.35,False,1.0,1.0,0.35,0.1,anisotropic,0.0125,0.01,500000,410.9273364543915,32.76851529236845,0.94174793146373,0.0004881076401055,31.18840515168543,0.9541151703091736,0.0007023063894663,0.0317887190748079
4,0.35,False,1.0,1.0,0.35,0.1,anisotropic,0.0125,0.0046415888336127,500000,399.67371940612793,29.20657770989662,0.9315719884016652,0.0011830298639793,28.09678105794013,0.9434162488390778,0.0015274794393708,0.0307031133928161
5,0.35,False,1.0,1.0,0.35,0.1,anisotropic,0.0125,0.0046415888336127,500000,404.5985469818115,31.74343023535364,0.9464976601039844,0.0006190465933511,28.883681984394897,0.9315948322317202,0.0011959090794114,0.03398757894776
6,0.35,False,1.0,1.0,0.35,0.1,anisotropic,0.0125,0.0021544346900318,500000,401.4749674797058,28.831897218007345,0.9271618255841424,0.0010710309181762,24.68411772716262,0.8360492104681824,0.0027834277785311,0.0362023825582375
7,0.35,False,1.0,1.0,0.35,0.1,anisotropic,0.0125,0.01,500000,404.3692510128021,34.43285905029468,0.9620750335095334,0.0003567191017695,32.90157198848761,0.9615399446483804,0.0005075222328108,0.0266958570029633
8,0.35,False,1.0,1.0,0.35,0.1,anisotropic,0.0125,0.0046415888336127,500000,403.79038524627686,30.005084649557496,0.9242605892318478,0.0009903461685417,28.459450626120088,0.941185805711621,0.0014136777676074,0.0352371698404497
9,0.35,False,1.0,1.0,0.35,0.1,anisotropic,0.0125,0.0215443469003188,500000,406.8478496074677,19.90550241087699,0.7710509021131366,0.0100775402006831,19.9651653046878,0.7876486087813142,0.0099400426973195,0.0364617407205194
10,0.35,False,1.0,1.0,0.35,0.1,anisotropic,0.0125,0.01,500000,414.5921628475189,24.25596835791349,0.892108702771408,0.0037091654157989,22.33201342997601,0.8333627008947785,0.0057765920014772,0.0354087175730996
11,0.35,False,1.0,1.0,0.35,0.1,anisotropic,0.0125,0.1,500000,405.20501613616943,32.80742680761145,0.9686443155272024,0.0005231461858187,32.88004736265041,0.980502360099633,0.0005144711286033,0.0284031357293021
12,0.35,False,1.0,1.0,0.35,0.1,anisotropic,0.0125,0.01,500000,395.0986433029175,25.891050668346395,0.9399410044131352,0.0025581669358122,25.52322419743065,0.9461132673747996,0.0027842711573076,0.0291022150653392
13,0.35,False,1.0,1.0,0.35,0.1,anisotropic,0.0125,0.0215443469003188,500000,392.08234190940857,24.35621863989201,0.8973758422831227,0.0036565882964744,24.0146327728826,0.9223430137557308,0.0039558029645545,0.0313290014832316
14,0.35,False,1.0,1.0,0.35,0.1,anisotropic,0.0125,0.0021544346900318,500000,394.3048658370972,32.78831949339826,0.9415881858602084,0.0005255426423973,31.03427997939932,0.9472610458219014,0.0007870673769189,0.0437176128583364
